,# of ratings (n),PROPORTION OF EXPECTED FINAL WORD (%),OTHER COMPLETIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare one's soul,107,0.35,,all,0.02,arms,0.02,belly,0.01,back,0.02,body,0.01,boobs,0.01,breast/breasts,0.07,burden,0.01,butt,0.01,claw,0.01,chest,0.01,curse,0.01,fangs,0.03,feelings,0.02,heart,0.02,legs,0.02,nerves,0.01,secret,0.01,secrets,0.01,teeth,0.32,thoughts,0.01,tits,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a babe in the woods,111,0.49,,basket,0.02,bath,0.01,bed,0.01,blanket,0.02,boat,0.01,bucket,0.01,bush,0.01,car,0.01,city,0.02,class,0.02,clouds,0.01,cradle,0.03,crib,0.02,day,0.01,evening,0.01,face,0.01,flesh,0.01,forest,0.02,group,0.01,hay,0.02,house,0.01,land,0.01,light,0.01,making,0.01,manger,0.02,movie,0.01,outfield,0.01,park,0.02,pen,0.01,pool,0.01,room,0.01,rough,0.01,sand,0.02,scene,0.02,sheets,0.01,sky,0.01,sty,0.01,sun,0.01,way,0.02,wind,0.01,window,0.01,world,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a backseat driver,110,0.93,,betty,0.01,case,0.01,passenger,0.04,problem,0.01,wonder,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a bad apple in the barrel,109,0.21,,basket,0.02,batch,0.04,bin,0.01,bunch,0.50,"bushel, bushell",0.02,city,0.01,class,0.02,face,0.01,family,0.04,group,0.03,making,0.01,mix,0.01,Patch,0.01,rough,0.01,tree,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a balancing act,109,0.96,,ball,0.01,beam,0.01,method,0.01,thought,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a ball and chain,106,0.73,,bat,0.10,batch,0.09,biscuit,0.01,blast,0.01,dime,0.01,fire,0.01,lovely,0.01,some,0.01,string,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a ballpark figure,111,0.24,,afternoon,0.01,cost,0.01,day,0.04,dog,0.01,estimate,0.06,event,0.01,fair,0.01,fight,0.01,frank,0.12,game,0.05,guess,0.14,hit,0.05,homerun,0.01,hotdog,0.09,meeting,0.01,moment,0.02,night,0.01,number,0.01,park,0.01,record,0.01,right,0.01,run,0.01,shot,0.01,song,0.01,special,0.01,traffic,0.01,walk,0.01,win,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a basketcase,103,0.00,,angel,0.01,bitch,0.01,bore,0.01,boy,0.01,brat,0.01,card,0.01,catch,0.01,champ,0.01,character,0.01,charlatan,0.01,chef,0.01,child,0.01,cop,0.01,dancer,0.02,dick,0.01,doctor,0.01,doll,0.02,escort,0.01,father,0.01,fix,0.01,fool,0.01,friend,0.03,gentleman,0.01,girl,0.02,harpy,0.01,hero,0.04,jerk,0.03,jewel,0.01,joy,0.01,lady,0.02,lifesaver,0.01,loner,0.01,looker,0.01,loser,0.02,lush,0.01,man,0.08,mess,0.01,mistake,0.01,model,0.01,natural,0.01,pain,0.01,pal,0.01,peach,0.01,pill,0.01,pip,0.02,pistol,0.02,prince,0.01,princess,0.02,professional,0.01,queen,0.01,rock,0.01,rut,0.01,saint,0.05,singer,0.01,slave,0.01,slob,0.01,snake,0.01,spy,0.01,star,0.02,task,0.01,thief,0.01,thinker,0.01,threat,0.01,trooper,0.01,whore,0.01,winner,0.03,woman,0.04,wonder,0.01,wreck,0.03,,,,,,,,,,,,
Be a bit much,103,0.05,,angry,0.02,ass,0.01,awkward,0.02,bad,0.01,bossy,0.01,challenged,0.01,close,0.01,cold,0.04,confused,0.01,crazy,0.03,dark,0.01,daunting,0.01,dense,0.01,difficult,0.01,dirty,0.01,dodgey,0.01,dour,0.01,down,0.01,dramatic,0.01,dull,0.01,eccentric,0.01,expensive,0.02,hasty,0.01,hazy,0.01,heavy,0.01,hectic,0.01,lame,0.01,larger,0.01,late,0.03,long,0.02,loose,0.01,mad,0.01,nervous,0.01,odd,0.04,off,0.03,overdone,0.02,overdrawn,0.01,overzealous,0.01,part,0.02,perplexed,0.01,player,0.01,pretentious,0.01,racy,0.01,rushed,0.01,ruthless,0.01,scared,0.01,scary,0.02,sad,0.01,sensitive,0.01,shy,0.03,silly,0.01,sketchy,0.01,slow,0.04,sour,0.01,squeamish,0.01,stiff,0.01,strange,0.03,subdued,0.01,tedious,0.01,tepid,0.01,thick,0.01,tipsy,0.01,tired,0.01,tiresome,0.01,touchy,0.01,tough,0.01,troubling,0.01,unconventional,0.01,unsettled,0.01,upsetting,0.01,weird,0.02,,,,,,,,
Be a blast from the past,107,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a blessing in disguise,106,0.98,,there,0.01,within,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be a breath of fresh air,108,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
