dependency,frequency,norm,samples
( VB dobj NN ),68.0,0.0781609195402,"Beat the system

Bite the dust

Break the ice

Build a bridge

Call the shots

Cause a stir

Crack the whip

Cry wolf

Cut the cord

Do something for all you're worth

Do the trick

Draw the line

Drop a bombshell

Fit the bill

Fly the coop

Get a grip

Get a headstart

Get an earful

Get the message

Get the picture

Get the sack

Go bananas

Go the distance

Grab the headlines

Have a brainstorm

Have the munchies

Hit the books

Hit the hay

Hit the jackpot

Hit the mark

Hit the sack

Hold all the aces

Join the club

Know the score

Learn the ropes

Lend a hand

Lend an ear

Look the part

Make a killing

Make a splash

Name names

Pass the torch

Pave the way

Pay the price

Play ball

Play chicken

Play the field

Pull some strings

Reinvent the wheel

Rock the boat

Scratch the surface

See the light

Set the stage

Shoot the breeze

Smell a rat

Soften the blow

Steal the show

Sweep the board

Take a beating

Take a raincheck

Take the cake

Take the plunge

Test the waters

Throw a fit

Tip the balance

Turn the tables

Upset the applecart

Wield the axe
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),42.0,0.048275862069,"Blow the lid off something

Bore the pants off someone

Bounce ideas off someone

Catch someone in the act

Catch someone off guard

Do battle with someone

Do something against the clock

Do something around the clock

Do something by the book

Do something from scratch

Do something on the spot

Drink someone under the table

Eat someone for breakfast

Fit someone like a glove

Get a handle on something

Get a slap on the wrist

Go hand in hand

Have something down pat

Hear something through the grapevine

Hit the nail on the head

Keep someone in the dark

Keep something at bay

Leave someone in the lurch

Let someone off the hook

Make no bones about something

Nip something in the bud

Open doors for someone

Place something on a pedestal

Play something by ear

Pull rank on someone

Put a damper on something

Put someone on the spot

Put something on the map

Read someone like a book

Run something into the ground

Shout something from the rooftops

Take something by storm

Take the edge off something

Throw someone off balance

Treat someone like dirt

Watch someone like a hawk

Write the book on something
"
( NN cop VB ) ( NN amod JJ ),34.0,0.0390804597701,"Be a backseat driver

Be a bumpy ride

Be a busy bee

Be a cheap shot

Be a close call

Be a dark horse

Be a different animal

Be a double whammy

Be a double-edged sword

Be a fallen angel

Be a false alarm

Be a happy medium

Be a hard sell

Be a melting pot

Be a mixed bag

Be a nervous wreck

Be a no-win situation

Be a one-man band

Be a quick fix

Be a safe bet

Be a smooth ride

Be a three-ring circus

Be a tough cookie

Be a vicious circle

Be a wet blanket

Be a wild card

Be a win-win situation

Be an eager beaver

Be an early bird

Be an open book

Be an unholy alliance

Be no big deal

Be small potatoes

Be the unsung hero
"
( VB dobj NN ) ( NN amod JJ ),29.0,0.0333333333333,"Be/get a rude awakening

Come full circle

Do a double take

Drive a hard bargain

Extend the olive branch

Fight a losing battle

Get the upper hand

Give a back-handed compliment

Go cold turkey

Go the extra mile

Have a clean break

Have a hidden agenda

Have a knee-jerk reaction

Have a one-track mind

Have a silver lining

Have a sneaking suspicion

Have a sweet tooth

Have a thick skin

Have the last laugh

Hit the hard stuff

Keep a low profile

Keep a straight face

Keep an open mind

Live a charmed life

Make the first move

Need fresh blood

Reach the boiling point

Share common ground

Win brownie points
"
( NN cop VB ) ( NN nmod NN ) ( NN case IN ),24.0,0.0275862068966,"Be a babe in the woods

Be a blast from the past

Be a bundle of nerves

Be a can of worms

Be a cog in the machine

Be a creature of habit

Be a drop in the ocean

Be a flash in the pan

Be a glutton for punishment

Be a jack of all trades

Be a needle in a haystack

Be a piece of cake

Be a race against time

Be a ray of sunshine

Be a recipe for disaster

Be a recipe for success

Be a rule of thumb

Be a shot in the dark

Be a sucker for something

Be a window of opportunity

Be nuts about something

Be the cream of the crop

Be the life of the party

Be the moment of truth
"
( VB nmod NN ) ( NN case IN ),21.0,0.0241379310345,"Be/feel under the weather

Comes with the territory

Fit as a fiddle

Get into gear

Go against the grain

Go for the jugular

Go into overdrive

Go like clockwork

Go through the motions

Go through the roof

Go through the wringer

Go under the knife

Hit below the belt

Jump on the bandwagon

Jump through hoops

Read between the lines

Saved by the bell

Think outside the box

Walk on air

Walk on eggshells

Work like a charm
"
( VB compound:prt RP ) ( VB dobj NN ),16.0,0.0183908045977,"Beat around the bush

Clear away the cobwebs

Fall off the wagon

Get off the ground

Get over the hump

Go down the drain

Go off the record

Hold down the fort

Lay down the law

Let off steam

Move up the ladder

Pick up the tab

Pull out all the stops

Put down roots

Put out feelers

Set up shop
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),16.0,0.0183908045977,"Count one's blessings

Do one's homework

Hedge one's bets

Leave one's mark

Lick one's chops

Lick one's wounds

Lose one's marbles

Make one's bed

Meet one's match

Pay one's dues

Rack one's brain

Recharge one's batteries

Rest one's case

Spill one's guts

Spread one's wings

Stand one's ground
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ),15.0,0.0172413793103,"Come in from the cold

Come out of the woodwork

Come out on top

Fall apart at the seams

Get in on the act

Get out of hand

Go along for the ride

Go off on a tangent

Go out of the window

Go out on a limb

Go out with a bang

Go up in flames

Go up in smoke

Make out like a bandit

Stand out from the crowd
"
( VB dobj NN ) ( NN nmod NN ) ( NN case IN ),15.0,0.0172413793103,"Carry a torch for someone

Cover a lot of ground

Get wind of something

Have a change of heart

Have a crack at something

Have a stab at something

Have something on the brain

Have the goods on someone

Make a beeline for something

Make a break for something

Scrape the bottom of the barrel

See the light of day

Stand the test of time

Take the rap for something

Want a piece of the action
"
