dependency,frequency,norm,samples
( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),2.0,0.166666666667,"Have eyes in the back of one's head

Off the top of one's head
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),2.0,0.166666666667,"Bury one's head in the sand

Have one's head in the clouds
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),1.0,0.0833333333333,"Hit the nail on the head
"
( VB dobj NN ) ( VB nmod NN ) ( NN case TO ) ( NN nmod:poss NN ) ( NN case POS ),1.0,0.0833333333333,"Hold a gun to someone's head
"
( VB dobj NN ) ( NN nmod:poss NN ) ( NN case POS ) ( VB advmod RB ),1.0,0.0833333333333,"Bite someone's head off
"
( VB dobj NN ) ( NN amod JJ ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),1.0,0.0833333333333,"Have a good head on one's shoulders
"
( VB dobj NN ) ( NN nmod:poss PRP$ ) ( VB compound:prt RP ),1.0,0.0833333333333,"Keep your head down
"
( VB dobj NN ) ( VB advmod RB ),1.0,0.0833333333333,"Knock heads together
"
( NN case IN ) ( NN nmod NN ) ( NN case TO ),1.0,0.0833333333333,"From head to toe
"
( NN compound NN ) ( NN nmod NN ) ( NN case IN ),1.0,0.0833333333333,"Fall head over heels
"
