hand,eye,face,head,arm,Foot,lip
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),( NN amod JJ ),( NN nmod NN ) ( NN case IN ),( NN nmod NN ) ( NN case IN ),( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),( NN amod JJ ),( VBG dobj NN ) ( VBG advmod RB )
( NN amod JJ ),( NN compound NN ),( NN amod JJ ) ( NN cc CC ) ( NN conj NN ),( NN compound NN ),( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),( VBG dobj NN )
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),( VBG dobj NN ),( VBG nmod NN ) ( NN case IN ),( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),( NN compound NN ),( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case TO ) ( NN amod JJ ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS )
( NN nmod NN ) ( NN case IN ),( NN amod JJ ) ( NN compound NN ),( NNP dep NN ) ( NN nmod NN ) ( NN case IN ),( VBG dobj NN ) ( VBG advmod RB ),( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),( VBG dobj NN ) ( VBG advmod RB ),( VBG dobj NN ) ( NN cc CC ) ( NN conj NN )
( VB xcomp VBG ) ( VBG nmod NN ) ( NN case IN ),( NN compound NNP ),( NN compound NN ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),( VB ccomp VBG ) ( VBG dep VBG ) ( VBG nmod NN ) ( NN case IN ),( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN amod JJ )
( JJ nsubj NN ),( NN nmod NN ) ( NN case IN ),( VB mark TO ) ( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),( VBG dobj NN ),( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ) ( NN cc CC ) ( NN conj NN ) ( NN nmod NN ) ( NN case IN ),( JJ nsubj NN ) ( JJ advmod RB ),( VBG advmod RB ) ( VBG dobj NN )
( NN amod JJ ) ( NN compound NN ),( VBN mark IN ) ( VBN nsubj NN ) ( VBN compound:prt RP ),( NN amod JJ ) ( NN nmod NN ) ( NN case IN ),( NNP dep NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG advcl VBG ) ( VBG mark IN ),( NN cc CC ) ( NN conj NN ) ( NN acl VBG ) ( VBG dobj NN ),( VBG cc CC ) ( VBG conj VBG ) ( VBG nmod NN ) ( NN case IN ) ( NN amod JJ )
( VBG dobj NN ),( NN dep NN ) ( NN cc CC ) ( NN conj NN ),( VBN xcomp VBG ) ( VBN nsubj NN ) ( NN amod JJ ) ( JJ amod JJ ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case TO ) ( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ),( VBN nsubj NN ) ( VBN nmod NN ) ( NN case IN ),( NNP cc CC ) ( NNP conj NN ),( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN )
( NN compound NN ),( NN acl:relcl VB ) ( VB aux VBN ) ( VB neg RB ) ( VB xcomp VB ) ( VB mark TO ) ( VB advmod RB ) ( RB advmod RB ),( NN nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),( VBN nsubj NN ) ( NN acl VBG ) ( VBG advmod RB ) ( VBG nmod NN ) ( NN case IN ) ( VBN advmod RB ),( VB advmod RB ) ( RB advmod RB ) ( VB nsubj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),( NN nmod:poss CD ) ( CD case POS ) ( NN cc CC ) ( NN conj NN ),( NN nmod NN ) ( NN case IN )
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case TO ),( VBG mark IN ) ( VBG dobj NN ),( NN appos NN ) ( NN amod JJ ),( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG cc CC ) ( VBG conj VBG ) ( VBG advmod RB ) ( VBG dobj PRP ),( NN dep NN ) ( NN nmod NN ) ( NN case IN ),( NN advmod RB ) ( NN cc CC ) ( NN conj NN ),( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN amod JJ )
