lip,mouth,face,hand,neck,arm,leg,foot,head,body,cheek,jaw,fingertip,eye,eyebrow,throat,chin,forehead,knee,thigh,shoulder,belly,stomach,tooth,muscle,palm,chest,toe,tongue,palm,eyelid,brow
5.0,4.0,3.0,22.0,4.0,8.0,7.0,2.0,5.0,10.0,3.0,2.0,1.0,13.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,2.0,3.0,2.0,4.0,2.0,9.0,,1.0,2.0,1.0,3.0
5.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,10.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,,1.0,1.0,1.0,2.0
3.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0
3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,5.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0
2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0
2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0
2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
