dependency,frequency,norm,samples
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),8.0,0.129032258065,"Folding the arms across the chest

Curling the arms over the head

Folding the arms over the stomach

Crossing the arms over the chest

Pinning the arms against the stomach

Swinging the arms while walking

Wrapping arms around self

Bending forward, laying head on arms
"
( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),2.0,0.0322580645161,"Hugging, grabbing onto someone's arm and holding it

Grabbing onto a friend's arm
"
( NN compound NN ),2.0,0.0322580645161,"Sweeping arm gestures

Flexing the fingers or arm muscles
"
( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),2.0,0.0322580645161,"Crossing and uncrossing arms or legs

Crossing and uncrossing the arms or legs
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),2.0,0.0322580645161,"Rubbing the arms or legs

Crossing the arms or legs
"
( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ) ( NN cc CC ) ( NN conj NN ) ( NN nmod NN ) ( NN case IN ),1.0,0.0161290322581,"Stroking one's own neck or arm as a surrogate
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG advcl VBG ) ( VBG mark IN ),1.0,0.0161290322581,"Crossing one's arms while observing
"
( VBN nsubj NN ) ( VBN nmod NN ) ( NN case IN ),1.0,0.0161290322581,"Arms crossed over the chest
"
( VB advmod RB ) ( RB advmod RB ) ( VB nsubj NN ) ( VB nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),1.0,0.0161290322581,"Leaning back, an arm hooked over the back of a chair
"
( NN dep NN ) ( NN nmod NN ) ( NN case IN ),1.0,0.0161290322581,"Arms hanging at the sides
"
( JJ dep NN ) ( JJ advcl VBG ) ( VBG mark IN ),1.0,0.0161290322581,"Arms swinging while walking
"
( NN dep VBG ) ( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN amod JJ ),1.0,0.0161290322581,"Arms crossing the stomach in a protective huddle
"
( NN dep NN ) ( NN compound NN ) ( NN nmod NN ) ( NN case IN ),1.0,0.0161290322581,"Arms hanging limply at the sides
"
( VBG dobj NN ) ( NN nmod:poss NN ) ( NN case POS ) ( VBG nmod NN ) ( NN case TO ) ( NN acl JJ ) ( JJ case IN ),1.0,0.0161290322581,"Squeezing someone's arm to the point of bruising
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN case IN ),1.0,0.0161290322581,"Pulling arms and legs in toward the core
"
