dependency,frequency,norm,samples
( NN amod JJ ),203.0,0.0763157894737,"murmuring affirmations

Visible shakiness

bumping tables

Flapping hands

Throat clearing

Eyebrows raising

A wide smile

Spontaneous laughter

Stalled breaths

Adrenaline spikes

Witty commentary

A high voice

Wheezy breath

Flaring nostrils

A high chin

Noisy breathing

Protruding eyes

Picking fights

Muscles quivering

Restless fingers

Narrowing eyes

Crossed arms

A sharp tone

Sweaty palms

Trembling hands

Fake swooning

Asking questions

Obsessive clock-watching

Restless legs

Light-hearted teasing

A strong handshake

An easygoing manner

Start-and-stop gesturing

An uncertain tone

Narrowed eyes

Asking questions

Ugly laughter

Negative thinking

Unkind observations

Raised eyebrows

Lingering touches

a sudden halt

Asking questions

Lackluster movements

Toneless responses

Vacant eyes

Wheezing breaths

Squinting eyes

Verbal disagreement

Widening eyes

Shuffling steps

A vacant stare

Hands moistening

A pained stare

An emotion-choked voice

A dry mouth

Tight muscles

Tightening fists

Strong posture

Precise movements

A fast-paced stride

A bitter smile

A heavy sigh

Restless fiddling

Eyes widening

Restricted breathing

Dragging footsteps

Heavy footsteps

Uncontrollable whimpering

Animated gesturing

Fluttery stomach

Embracing others

Feet shuffling

Twitching hands

Muscles bunching

Sweaty hands

A wide grin

Telling jokes

A loud voice

Bumping shoulders

Throaty laughter

A fast pulse

Heightened senses

Clammy hands

Tight shoulders

Rushed speech

A strained voice

Stilted speaking

A two-fingered salute

Consuming antacids

Fluid movements

A polite manner

A scathing tone

Deep breaths

A light-hearted feeling

Tingling limbs

Throat bobbing

Uncontrolled tears

Runny nose

Sluggish heartbeat

Drooping shoulders

An uneven step

loud breathing

Relaxed posture

Half-lidded eyes

Visible blushing

A hard smile

Tense muscles

Sensitive skin

Quickened pulse

Clenching teeth

Reckless behavior

bland clothing

lackluster hair

Acute senses

A slight smile

Subdued laughter

A shallow sigh

first car

a quick kiss

Teary eyes

Inappropriate responses

Difficulty breathing

Wide eyes

Bloodshot eyes

A rumpled appearance

Weight loss

Perfectionist tendencies

Compulsive behaviors

Catlike stretches

Languid movements

A satisfied sigh

Unhurried speech

A satisfied smile

Shaking extremities

Elevated pulse

Clouded vision

A pained expression

A nervous stomach

A slow smile

Shaky laughter

Wobbly legs

Buckling knees

A gaping mouth

An unsteady walk

A slight moan

Hesitant steps

repetitive gestures

crossed arms

Muttering negatives

Heartfelt apologies

Watering eyes

Hollowed cheeks

Catty behavior

A hard expression

A stiff stance

Slumped shoulders

Stooped posture

Shuffling footsteps

Small steps

Dull eyes

Unwashed hair

A half-hearted shrug

A long exhale

Splotchy skin

Quaking shoulders

A runny nose

A crisp nod

A biting remark

A tight jaw

A harsh squint

Bullying tactics

A puffed-up feeling

A blank look

Hunched shoulders

A perpetual slouch

Hitching breaths

following others

A confrontational stance

Sniping remarks

A silent look

A wide stance

An arrogant laugh

A thoughtful expression

A slow walk

Subdued personality

A negative outlook

Flushed skin

Quickened breaths

Adrenaline rush

A sad smile

a weak smile

an awkward hug

A heavy nod

Rasping breaths

A primal scream

Clammy skin

Forehead wrinkling

Shuffling feet

A shaky voice

Rigid posture

Careful words

Increased adrenaline
"
( NN ),103.0,0.0387218045113,"Smiling

Breathlessness

Pacing

Giddiness

Disorientation

Sweating

Glaring

Muttering

Nausea

Complaining

Daydreaming

Scratching

Impatience

Praying

Dizziness

humming

Flirting

Stretching

Fumbling

Grimacing

Stuttering

Frowning

Sneering

Mocking

Gossiping

Blinking

Nose-wrinkling

Eavesdropping

Interrupting

Shrugging

Crying

Illness

Trembling

Moaning

Bargaining

Lightheadedness

Chills

Laughing

Coughing

Wincing

Speechlessness

Staring

Glowering

Squinting

Reaching

stalking

nodding

bobbing

weaving

pacing

Swearing

Complimenting

Blushing

Short-temperedness

Lying

pacing

Spontaneity

Restlessness

Whimpering

Scowling

Yawning

Fidgeting

Criticism

Sullenness

Insomnia

Fatigue

kissing

hugging

Jumpiness

Clumsiness

cleaning

Faintness

laughing

screaming

Hyperventilating

Flinching

Drowsiness

Perfectionism

Screaming

Manipulation

Apologizing

Gasping

pacing

Silence

Shaking

Obedience

Rudeness

Pouting

Name-calling

Arguing

Tears

Clapping

Bragging

Sarcasm

fawning

begging

pacing

clock-watching

Name-dropping

Hyperventilation

Swallowing

Sighing

Hesitation
"
( VBG dobj NN ),85.0,0.031954887218,"Quickening heartbeat

Fanning self

Stiffening posture

Voicing wonder

Rushing blood

Tingling skin

shaking a fist

crossing the arms

Clenching the jaw

fingering a collar

Wetting the lips

Fingering a necklace

Bouncing a foot

Initiating contact

Wrinkling the nose

Rubbing the chin

Using sarcasm

blowing a raspberry

Shaking the head

Sagging posture

Crossing the legs

Deflecting blame

Making excuses

Choosing isolation

Racing heartbeat

Practicing a skill

Stumbling mid-stride

covering the head

rubbing the arms

Cocking the head

Repeating No and other negatives

Thumbing the ear

Expressing concern

Pursing the lips

crossing the arms

closing a jacket

Getting the giggles

Slamming a door

Blowing a kiss

savoring food

Bearing the teeth

snapping a pen

throwing a chair

destroying property

Hitching chest

Clutching the stomach

Crossing the arms

Folding the hands

turning a cup

mangling a paperclip

Shrugging half-heartedly

tapping a pencil

Changing the subject

Forcing a laugh

scratching an eyebrow

adjusting glasses

Eyeing the exits

touching an ear

waxing the car

sitting close

Enjoying an event

Threatening violence

Avoiding the victim

Seeking reconciliation

Slumping posture

Expressing skepticism

Holding the stomach

Shunning the source

Running makeup

Ignoring the target

crossing the arms

averting the head

tapping fingers

Biting the fingernails

waving a cigar

Hiding the face

Touching the throat

Googling the suspect

Thumping heartbeat

clutching the arms

Licking the lips

Lowering the brows

Lifting the chin

Gritting the teeth

Wrinkling the brow
"
( NN compound NN ),71.0,0.0266917293233,"A flushed appearance

A slack mouth

A belly laugh

A corded neck

A pinched expression

A tilted-back head

A pensive expression

A downturned mouth

Stiff posture

A pinched mouth

A cracking voice

A lowering brow

A gaunt appearance

Body odor

A set jaw

A curt nod

A hunched posture

A stony expression

A hesitating nod

A bent neck

The chest caving

A bent spine

A trembling chin

A thinning mouth

A ruddy complexion

A shrill voice

An emotion-rich voice

An upturned face

A relaxed appearance

A bowed head

A flushed face

A hanging head

A tapping foot

pen clicking

A nonchalant attitude

An unhurried exit

A self-deprecating laugh

Wrist twisting

A roiling stomach

Body mimicking that of the rival

A monotone voice

arm stroking

holding hands

A relaxed posture

An unforced laugh

A knowing grin

A guttural roar

A knotted belly

A too-quick smile

A pleading tone

An unkind smile

A bowed spine

An aching chest

A scratchy throat

A puffed-out chest

A fist pump

eye contact

A thrust-out chest

A wrinkled nose

A jutting chin

A grave expression

A weighed-down feeling

A wrinkled brow

A fake smile

An understanding nod

a rush attack

A downcast expression

An impatient huff

A tapping heel

A furrowed brow

A jutting jaw
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),53.0,0.0199248120301,"Laying a hand over the heart

Drumming feet against the floor

Folding the arms across the chest

Jittering a foot against the floor

drumming fingers against a leg

Approaching people with ease

Rubbing a hand through the hair

Running hands through the hair

Tapping a fist against the lips

Repeating a statement as a question

Placing a hand against the breastbone

Curling the arms over the head

Dragging nails down the cheeks

Forming hands into a steeple

Folding the arms over the stomach

Pressing hands against the stomach

Shoving hands in pockets

accepting a leaflet with reluctance

Thrusting a fist into the sky

Crossing the arms over the chest

Scrubbing a hand over the face

Pounding a fist against a tabletop

Placing a hand on the chest

Tingling warmth in the limbs

Pinning the arms against the stomach

pawing a hand through the hair

Swinging the arms while walking

Clasping hands under the chin

Wrapping arms around self

Placing hands on the hips

Hiding the hands in the pockets

Tucking the hands behind the elbows

swiping tears from cheeks

Scraping a hand through the hair

Rubbing a hand against the heart

Lacing fingers behind the head

Laying a hand against the breastbone

Asking questions about the fallout

running hands through the hair

Asking questions for clarification

Balling the hands into fists

Propping a cheek on a fist

Clapping someone on the back

Flapping a hand in dismissal

Pursing the lips in thought

Waving a hand in dismissal

Slapping hands against the cheeks

Patting a leg in comfort

wrapping arms around the belly

Clapping the hands over the ears

Slipping hands into pockets

Cutting the eyes toward the source

Pinching the skin at the throat
"
( VBG nmod NN ) ( NN case IN ),49.0,0.0184210526316,"Widening of the eyes

Gasping for air

Snapping at people

Jumping at sounds

Asking those in authority for updates

Swatting at the air

Rocking in place

Asking for affirmation

Gazing with focus

Slumping into a chair

Tingling in the stomach

Tingling in the chest

Dancing in place

Pulling at the collar

Responding with anger

Hiding behind a book

Grabbing onto someone

Flinching at noises

talking with the hands

Keeping at a distance

Bouncing on the toes

Lunging at an enemy

Complaining under the breath

Picking at lint

scratching at cuticles

scuffing at the ground

Staying at a distance

disengaging from conversation

Breathing through the nose

Smiling at nothing

fiddling with the hands

Biting at lips

Falling against another person

Glancing around uneasily

Moving toward an exit

Begging for forgiveness

Breaking into sobs

Digging for tissues

Looming over the target

Crumpling under scrutiny

fussing with clothing

Arguing with the suspect

Crying with the person

Fumbling for words

bumping into things

Doodling on paper

Asking for reassurance

slumping in a chair

withdrawing from conversation
"
( NNP compound NNP ),47.0,0.0176691729323,"Lips parting

A radiant glow

Reduced blinking

Mouth drying

Excessive saliva

Feeling overheated

Cracking knuckles

Manic pacing

Visible sweating

Difficulty swallowing

Light sarcasm

Head shaking

Excessive swallowing

Rapid blinking

Snorting loudly

Body shielding

Eye rolling

Increased swallowing

Alert gaze

Mouth slackening

Openly staring

Dry heaving

Increased heartbeat

Whooping loudly

Leaning closer

Quick heartbeat

Dry mouth

Repetitive swallowing

Palms hidden

Rapid speaking

Enthusiastic waving

Body shielding

Cold sweat

Face tightening

False bravado

Facial tics

Poor balance

Nostrils flaring

Bent posture

Offering restitution

Loose jaw

Excessive sleeping

Rewarding oneself

Loose posture

A gasp

Copious sweating

Increased thirst
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),29.0,0.0109022556391,"Adjusting one's clothing

Deepening one's tone

Grinding one's teeth

Tugging one's hair

Curling one's toes

Changing one's stance

Biting one's lip

Wringing one's hands

Clutching one's hands

Licking one's lips

Relaxing one's posture

Lowering one's head

ducking one's chin

Scratching one's jaw

Showing one's palms

Wrinkling one's nose

Averting one's gaze

Shuffling one's feet

Biting one's cheek

Rushing one's words

Pursing one's lips

Checking one's breath

holding one's elbows

Rubbing one's forearms

Crossing one's arms

curling one's fingers

Clenching one's teeth

moistening one's lips

Shaking one's head
"
( NN nmod NN ) ( NN case IN ),25.0,0.0093984962406,"A reddening of the face

Whimpers of mirth

A tightening in the chest

A lack of energy

A shake of the head

A tightening under the eyes

Lightness in the chest

Shakiness in the limbs

Weakness in the knees

A feeling of breathlessness

A flutter in the belly

A jolt through the body

A loss of coordination

Weakness in legs

Tightness in the chest

A pounding in the ears

Loss of appetite

A loss of appetite

strength in voice

A lightness in the chest

Thickness in throat

A tightness in the face

A bark of laughter

hands in pockets

Circles under the eyes
"
( VBG advmod RB ),21.0,0.00789473684211,"Squealing dramatically

Speaking boisterously

Looking downward

Waving dismissively

Nodding slowly

Stepping back

Shuffling backward

Sweating profusely

Weaving slightly

Swallowing hard

Rocking slightly

Arriving early

Swallowing frequently

Shaking uncontrollably

Clapping vigorously

Reacting defensively

Startling easily

Scratching compulsively

Responding slowly

Sighing dejectedly

Sitting quietly
"
( NN amod JJ ) ( NN appos NN ) ( NN amod JJ ),21.0,0.00789473684211,"Deploying sarcasm, insulting others

A blank look, a slack expression

A slackened mouth, displaying shock

Choppy responses, short sentences

High color, a flushed appearance

Happy tears, shining cheeks

A distinct walk, a fast-paced strut

Loud breaths, a heaving chest

A clenched jaw, gritted teeth

Slumped shoulders, limp posture

A beaming expression, glowing cheeks

A glassy stare, a glazed look

A warm voice, caring tone

A wide stance, open demeanor

Closed eyes, compulsive nodding

A flat look, narrowed eyes

Shoulders back, straight posture

Crossed arms, a wide stance

Kind words, a soothing tone

Tense muscles, rigid posture

Rounded shoulders, a slumped posture
"
( VBG dobj NN ) ( NN amod JJ ),21.0,0.00789473684211,"Releasing an appreciative sigh

Giving a small yelp

Displaying a wide grin

Baiting the other person

Posing hypothetical questions

Asking pointed questions

Lifting a single eyebrow

Doing a double take

Citing possible repercussions

Using excitable language

choosing a different chair

eating the same meals

visiting the same park

Watching romantic movies

Using a quiet voice

wearing the old clothes

Citing unreliable sources

Telling the unvarnished truth

Sagging facial features

Projecting hurtful observations

Listing the possible consequences
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),20.0,0.00751879699248,"Speaking praise and compliments

Rubbing the arms or legs

shifting weight or position

Twisting a watch or ring

Verbalizing disappointment or denial

Exuding calm and focus

Crossing the arms or legs

Sharing a look or wink with another

Trembling lips and chin

Avoiding a person or place

Rubbing the nose or ears

Sharing secrets and desires

Doodling hearts and names

Tingling fingers and toes

Biting criticism and belittlement

Biting the lip or nails

Giving a toast or praise

Squeezing a shoulder or hand

Clutching the throat or chest

Rubbing the lips or chin
"
( VBG cc CC ) ( VBG conj VBG ),17.0,0.00639097744361,"Chuckling or cackling

Stomping or stamping

Sobbing or weeping

Yelling or shouting

nodding and grimacing

Prying or snooping

Rationalizing or justifying

Stuttering or stammering

Arguing or questioning

Flinching or cringing

Grimacing or swallowing

Cringing or shaking

Sprinting or running

Bowing or curtseying

Whistling or humming

Pushing and shoving

Wincing or grimacing
"
( NN compound NNP ),16.0,0.00601503759398,"Cold eyes

Mental insults

Chin tremors

Quick movements

Cold fingers

Open palms

Laugh lines

Offering compliments

Angry tears

Pigeon toes

Quick breaths

Uncertain steps

Loose limbs

Tension headaches

Wet eyes

Body tremors
"
( NN amod VBG ),15.0,0.00563909774436,"A wavering voice

A pounding heart

A churning stomach

A booming laugh

A thickening voice

A shaking voice

A furrowing brow

A curling lip

A rolling stomach

A quivering chin

A hitching chest

A quaking voice

A condescending smile

An unmoving stance

A racing pulse
"
( VBG compound:prt RP ),14.0,0.00526315789474,"Backing away

Slinking away

Tearing up

Turning away

Shifting about

Backing up

Spinning away

Showing off

Seeking out those who shared the event

Reaching out to another for comfort

turning away

squatting down

Turning away

Looking down
"
( VBG dobj NN ) ( NN compound NN ),13.0,0.00488721804511,"Mimicking body language

Rising body temperature

Avoiding eye contact

Sweeping arm gestures

Rising blood pressure

Facing danger head-on

Breaking eye contact

Running a victory lap

changing direction mid-stride

Watching the source furtively

Adopting a sullen look

Darting eye movements

Floundering hand movements
"
( VB dobj NN ),13.0,0.00488721804511,"Finger-tapping a tabletop

gripping the elbows

Covering the mouth

Offering a wave

Raising the voice

Closing the eyes

Slack muscles

Weak muscles

Blank features

Offering a thumbs-up

Weak knees

Raising the eyebrows

Covering the face
"
( VBG dobj NN ) ( VBG advmod RB ),13.0,0.00488721804511,"Taking a step back

Pressing the lips together

Bending the neck forward

Tapping the fingers together

Rubbing the hands together

Pinching the lips together

scraping the hair back

Watching people furtively

Waving people away

Shaking the head repeatedly

Pressing lips together

Clasping the hands together

Jerking the head back
"
( VBG nmod NN ) ( NN case IN ) ( NN amod JJ ),12.0,0.00451127819549,"Sucking in a quick breath

Speaking in short phrases

Tucking in the upper lip

Pacing in short spans

Speaking in a flat voice

Kicking at nearby objects

Engaging in meaningful conversations

Pulling in a deep breath

Answering with a maybe response

Answering with a small nod

Keeping at a safe distance

Speaking in a quiet voice
"
( NNP appos NN ) ( NN amod JJ ),12.0,0.00451127819549,"Short, fast breaths

Feverish, over-bright eyes

Raised, prominent cheekbones

Satisfied, catlike stretches

Short, jerky movements

Quick, high-pitched laughter

Slow, languid movements

Wrinkled, disheveled clothes

Unhurried, relaxed movements

Fatigue, lacking energy

Slow, cautious movements

Rumpled, unwashed clothes
"
( NN amod JJ ) ( NN nmod NN ) ( NN case IN ),12.0,0.00451127819549,"Frantic planning for the event

A roiling heat in the belly

A fluttery feeling in the chest

A small intake of breath

A light squeeze during a handshake

A comfortable warmth in the face

An animalistic growl in the throat

A twitchy feeling in the extremities

A visible flush in cheeks

An overall relaxation of the body

Dark circles under the eyes

A heavy feeling in the stomach
"
( VBG nmod NN ) ( NN case IN ) ( NN cc CC ) ( NN conj NN ),12.0,0.00451127819549,"Biting at the lips or nails

Collapsing onto a chair or bench

Rubbing at an eyelid or brow

Asking for assurances or clarification

Clutching at the chest or belly

Fiddling with cuffs or jewelry

Doting on someone or something

Sagging against a wall or person

Muttering under the breath or cursing

Crumpling onto a chair or sofa

Fiddling with jewelry or props

Rubbing at the forehead or temples
"
( VBG advmod RB ) ( VBG dobj NN ),11.0,0.00413533834586,"Frequently moistening the lips

Minutely shaking the head

Difficulty completing a task

Gently biting the lip

sitting then standing

Randomly changing the topic

Difficulty forming responses

Openly expressing distrust

Lightly stroking a forearm

Lightly touching a shoulder

Repeatedly rubbing the face
"
( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ),11.0,0.00413533834586,"Checking and rechecking the time

Checking and rechecking email

Studying or gathering information

Standing or sitting stiffly

Uncrossing and re-crossing the legs

Scratching or rubbing skin

Dropping or spilling things

Steering or dominating the conversation

Throwing or kicking things

Cocking or tilting the head

Stroking or rubbing an eyebrow
"
( VBG compound:prt RP ) ( VBG nmod NN ) ( NN case IN ),11.0,0.00413533834586,"Turning away from others

Staring down at the ground

Cringing away from the source

Breaking out into a run

Flinching away from touches

Sliding down in a chair

Flopping back in a chair

Staring down at the floor

Spinning away in a huff

Staring off at nothing

Rocking back on heels
"
( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),10.0,0.00375939849624,"Bouncing on one's toes

Rubbing at one's hands

Pulling at one's collar

Focusing on one's shoe

slumping in one's seat

Hiding behind one's hair

Rubbing at one's lips

Glancing at one's watch

Shifting in one's chair

Hiding behind one's bangs
"
( NN appos NN ),10.0,0.00375939849624,"Flinching, recoiling

Stuttering, stammering

Cursing, swearing

Chattiness, babbling

Huddling, crouching

Tears, sadness

Mumbling, muttering

Muttering, mumbling

Unsmiling, humorless

Moaning, whimpering
"
( VB xcomp VBG ) ( VBG advmod RB ),9.0,0.00338345864662,"Shoulders pushing back

Neck bending forward

Feet pointing forward

Knees pulling together

Shoulders hunching slightly

Ribs squeezing tight

Eyebrows squeezing together

Hands twisting together

Eyebrows drawing together
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case TO ),9.0,0.00338345864662,"Pressing palms to cheeks

Pressing a fist to the mouth

Tilting the head to the side

Pressing a hand to the abdomen

Lowering the voice to a whisper

Clasping hands to the chest

Pressing a fist to the lips

Pressing the palms to the eyes

Dropping the chin to the chest
"
