dependency,frequency,norm,samples
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),22.0,0.130177514793,"Laying a hand over the heart

Rubbing a hand through the hair

Running hands through the hair

Placing a hand against the breastbone

Forming hands into a steeple

Pressing hands against the stomach

Shoving hands in pockets

Scrubbing a hand over the face

Placing a hand on the chest

Clasping hands under the chin

Placing hands on the hips

Hiding the hands in the pockets

Tucking the hands behind the elbows

Scraping a hand through the hair

Rubbing a hand against the heart

Laying a hand against the breastbone

Balling the hands into fists

Flapping a hand in dismissal

Waving a hand in dismissal

Slapping hands against the cheeks

Clapping the hands over the ears

Slipping hands into pockets
"
( NN amod JJ ),6.0,0.0355029585799,"Flapping hands

Trembling hands

Hands moistening

Twitching hands

Sweaty hands

Clammy hands
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),5.0,0.0295857988166,"Running hands through one's hair

Squeezing the hands at one's sides

Rubbing the hands over one's clothing

Placing hands in one's pockets

Pressing hands against one's cheeks
"
( NN nmod NN ) ( NN case IN ),4.0,0.0236686390533,"Holding the head in the hands

Covering the face with hands

Covering the face with the hands

Covering the mouth with a hand
"
( VB xcomp VBG ) ( VBG nmod NN ) ( NN case IN ),4.0,0.0236686390533,"Hands moving in jerks

Hands clenching into fists

Hands tightening into fists

Hands clutching at stomach
"
( JJ nsubj NN ),3.0,0.0177514792899,"Digging in a purse or pocket to keep the hands busy

Smoothing one's clothes or touching items to keep the hands busy

Fiddling with an object to keep the hands busy
"
( NN amod JJ ) ( NN compound NN ),3.0,0.0177514792899,"Lethargic hand movements

Fluttery hand movements

Sharp hand movements
"
( VBG dobj NN ),3.0,0.0177514792899,"Rubbing the wrists or wringing the hands

Dry washing the hands

Folding the hands
"
( NN compound NN ),2.0,0.0118343195266,"Holding a hand close to the face while speaking

Floundering hand movements
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case TO ),2.0,0.0118343195266,"Clasping one's hands to the chest

Pressing one's hands to the stomach
"
( VBG dobj NN ) ( VBG advmod RB ),2.0,0.0118343195266,"Rubbing the hands together

Clasping the hands together
"
( VBZ nsubj WP ) ( VBZ dobj NN ) ( NN amod JJ ),2.0,0.0118343195266,"Belittling comments that remind the target who has the upper hand

Projecting the voice, reinforcing who has the upper hand
"
( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),2.0,0.0118343195266,"Holding one's head with the hands

Holding one's head in hands
"
( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),2.0,0.0118343195266,"Covering one's face with one's hands

Holding one's head in one's hands
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),2.0,0.0118343195266,"Wringing one's hands

Clutching one's hands
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case TO ),2.0,0.0118343195266,"Pressing a hand to the abdomen

Clasping hands to the chest
"
( VBZ nsubj NN ),2.0,0.0118343195266,"Hands that tremble

Hands that fidget
"
( VBG dobj NN ) ( VBG advmod RB ) ( VBG nmod NN ) ( NN case IN ),2.0,0.0118343195266,"Holding the hands loosely behind the back

Clasping the hands together in the lap
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),2.0,0.0118343195266,"Leaning forward with a hand on the knee

Leaning over with the hands on the knees
"
