nonoverlapping dependency,frequency,norm,rank,samples
( NN dep VBG ) ( VBG compound:prt RP ) ( VBG nmod PRP ) ( PRP case IN ),2.0,0.0434782608696,4,"Body collapsing in on itself

The body crumpling in on itself
"
( NN amod JJ ) ( NN nmod NN ) ( NN case IN ),1.0,0.0217391304348,5,"An overall relaxation of the body
"
( NN acl:relcl NN ) ( NN cop VBZ ) ( NN advmod RB ) ( NN case IN ),1.0,0.0217391304348,5,"A body that's constantly in motion
"
( VB mark TO ) ( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),1.0,0.0217391304348,5,"Trying to cover body with hands
"
( NN compound NN ) ( NN dep VBZ ) ( VBZ cc CC ) ( VBZ conj VBZ ),1.0,0.0217391304348,5,"Body posture that loosens or collapses
"
( NN compound NN ) ( NN dep VBG ) ( VBG compound:prt RP ),1.0,0.0217391304348,5,"Body temperature jumping up
"
( JJ nsubj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ) ( JJ advmod RB ) ( JJ advmod RB ),1.0,0.0217391304348,5,"Elbows pressing into the sides, making one's body as small as possible
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ) ( VBG nmod NN ) ( NN case IN ) ( VBG nmod NN ) ( NN case TO ),1.0,0.0217391304348,5,"Keeping arms and legs in close to the body
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( VBG cc RB ) ( RB mwe IN ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN compound NN ),1.0,0.0217391304348,5,"Turning the body at an angle instead of facing the subject head-on
"
( NN dep VBG ) ( VBG compound:prt RP ) ( VBG nmod NN ) ( NN case IN ),1.0,0.0217391304348,5,"Body angling away from suspect
"
( VBZ nsubj NNP ) ( VBZ dobj NN ) ( VBZ compound:prt RP ),1.0,0.0217391304348,5,"Body posture that perks up
"
( NN amod JJ ) ( NN compound NN ) ( NN appos NN ) ( NN amod JJ ),1.0,0.0217391304348,5,"Muted body language, lacking energy
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN nmod NN ) ( NN case IN ),1.0,0.0217391304348,5,"Tilting one's body toward the source
"
( NN amod VBG ) ( NN appos NN ) ( NN amod JJ ) ( JJ xcomp VB ) ( VB mark TO ),1.0,0.0217391304348,5,"Leg muscles tightening, the body ready to run
"
( JJ advmod RB ) ( JJ nmod NN ) ( NN case TO ),1.0,0.0217391304348,5,"Arms tight to the body
"
( VBG dobj NN ) ( VBG compound:prt RP ) ( VBG nmod NN ) ( NN case IN ),1.0,0.0217391304348,5,"Slanting the body away from an accuser
"
( NN compound NN ) ( NN appos NN ) ( NN amod JJ ),1.0,0.0217391304348,5,"Body odor, cold sweats
"
( NN compound NN ) ( NN dep VBN ) ( VBN mark IN ) ( VBN parataxis VBG ) ( VBG dobj NN ),1.0,0.0217391304348,5,"The body sagging while seated, lacking tension
"
( VB nsubj NN ) ( NN cc CC ) ( NN conj NN ) ( VB advmod RB ),1.0,0.0217391304348,5,"Body and feet pointed forward
"
( VBZ advcl VBG ) ( VBG cc CC ) ( VBG conj VBG ) ( VBZ nsubj NN ) ( VBZ advmod RB ),1.0,0.0217391304348,5,"Flinching or starting, the body jumping slightly
"
( VBG dobj NN ),1.0,0.0217391304348,5,"Making preparations or conditioning the body
"
( VBG dobj NN ) ( NN acl VB ) ( VB mark TO ) ( VB conj VB ) ( VB cc CC ) ( VB conj VB ),1.0,0.0217391304348,5,"Using the body to nudge, push, or block
"
( VBG dobj NN ) ( NN compound NN ) ( VBG nmod NN ) ( NN case TO ),1.0,0.0217391304348,5,"Drawing the limbs close to the body
"
