nonoverlapping dependency,frequency,norm,rank,samples
( VBG dobj NN ),36.0,0.0330275229358,4,"Wetting the lips

Tilting one's head to the side and pursing the lips

Pursing the lips

Drawing the mouth into a straight line and biting the lip

Licking the lips

Opening and closing the mouth

Turning away and covering the mouth

Hiding the face

Rubbing the wrists or wringing the hands

Dry washing the hands

Folding the hands

Crossing the arms

Crossing the legs

Bouncing a foot

Shaking the head

Cocking the head

Making preparations or conditioning the body

Spots of color entering the cheeks

Clenching the jaw

Putting a hand over the face, closing the eyes

Tipping the head back for a moment and closing the eyes

Taking a deep, pained breath and closing the eyes

Hair hanging in face, hiding the eyes

Shaking head and closing the eyes

Pinching the bridge of the nose and tightly squeezing the eyes

Touching the throat

Rubbing the chin

Lifting the chin

Bouncing a knee

Clutching the stomach

Holding the stomach

Bearing the teeth

Gritting the teeth

Hitching chest

Lowering the brows

Wrinkling the brow
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case TO ),15.0,0.0137614678899,7,"Pressing a fist to the lips

Pressing a fist to the mouth

Pressing a hand to the abdomen

Clasping hands to the chest

Tilting the head to the side

Pressing palms to cheeks

Pressing the palms to the eyes

Dropping the chin to the chest

Pressing palms to cheeks

Pressing the palms to the eyes

Clasping hands to the chest

Clutching an item to the chest

Dropping the chin to the chest

Pressing palms to cheeks

Pressing the palms to the eyes
"
( VBG dobj NN ) ( VBG advmod RB ),12.0,0.0110091743119,9,"Pressing the lips together

Gritting one's teeth, pressing the lips tight

Pinching the lips together

Pressing lips together

Lip biting or pressing the lips together

Rubbing the hands together

Clasping the hands together

Bending the neck forward

Narrowing one's stance, bringing the feet together

Shaking the head repeatedly

Jerking the head back

Pinching the bridge of the nose and squeezing the eyes tight
"
( NN case IN ) ( NN cc CC ) ( NN conj NN ),10.0,0.00917431192661,11,"Frequent touching of the face and lips

Hair lifting on the nape and arms

Stiffness in the neck and jaw

Beads of sweat on the lip or forehead

Dizziness, weakness in the legs and knees

Tension in the neck and shoulders

Clutching at the chest or belly

Burning sensation in the chest or stomach

Heaviness in the limbs or muscles

Rubbing at an eyelid or brow
"
( NN case IN ) ( NN nmod NN ) ( NN case IN ),9.0,0.00825688073394,12,"Spittle building up in the corners of the mouth

Stiffening hair on the nape of the neck

Pain in the back of the throat

Leaning forward with a hand on the knee

Leaning over with the hands on the knees

An empty feeling in the pit of the stomach

Arms crossing in front of the chest

Crossing arms in front of chest

Rubbing the heel of a palm against chest
"
( NN amod JJ ) ( NN nmod NN ) ( NN case IN ),8.0,0.00733944954128,13,"A comfortable warmth in the face

An overall relaxation of the body

A visible flush in cheeks

Dark circles under the eyes

An animalistic growl in the throat

A roiling heat in the belly

A heavy feeling in the stomach

A fluttery feeling in the chest
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),8.0,0.00733944954128,13,"Running hands through one's hair

Squeezing the hands at one's sides

Rubbing the hands over one's clothing

Placing hands in one's pockets

Pressing hands against one's cheeks

Crossing the arms over one's chest

Pressing hands against one's cheeks

Crossing the arms over one's chest
"
( NN amod JJ ) ( NN appos NN ) ( NN amod JJ ),8.0,0.00733944954128,13,"Stiff posture, rigid muscles, a corded neck

Happy tears, shining cheeks

A beaming expression, glowing cheeks

A flat look, narrowed eyes

Shoulders back, straight posture

A clenched jaw, gritted teeth

A stiff neck, strained muscles

Loud breaths, a heaving chest
"
( VB xcomp VBG ) ( VBG advmod RB ),7.0,0.00642201834862,14,"Neck bending forward

Feet pointing forward

Eyebrows squeezing together

Eyebrows drawing together

Knees pulling together

Shoulders pushing back

Shoulders hunching slightly
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),7.0,0.00642201834862,14,"Trembling lips and chin

Biting the lip or nails

Rubbing the lips or chin

Rubbing the arms or legs

Crossing the arms or legs

Clutching the throat or chest

Squeezing a shoulder or hand
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case TO ),6.0,0.00550458715596,15,"Head tipping back, turning one's face to the sky

Clasping one's hands to the chest

Pressing one's hands to the stomach

Cocking one's head to the side

Pressing one's hands to the stomach

Clasping one's hands to the chest
"
( VB xcomp VBG ) ( VBG nmod NN ) ( NN case IN ),6.0,0.00550458715596,15,"Hands moving in jerks

Hands clenching into fists

Hands tightening into fists

Hands clutching at stomach

Muscles jumping under the skin

Chest bumping with others
"
( NN amod VBG ),6.0,0.00550458715596,15,"A curling lip

A quivering chin

A churning stomach

A rolling stomach

A hitching chest

A furrowing brow
"
( VBG dobj NN ) ( VBG advmod RB ) ( VBG nmod NN ) ( NN case IN ),6.0,0.00550458715596,15,"Holding the hands loosely behind the back

Clasping the hands together in the lap

Pressing palms lightly against the cheeks

Looking others directly in the eye

Pressing palms lightly against the cheeks

Pressing palms lightly against the cheeks
"
( VBG advmod RB ) ( VBG dobj NN ),5.0,0.0045871559633,16,"Frequently moistening the lips

Gently biting the lip

Repeatedly rubbing the face

Minutely shaking the head

Lightly touching a shoulder
"
( NN amod JJ ) ( NN compound NN ) ( NN appos NN ) ( NN amod JJ ),5.0,0.0045871559633,16,"Muted body language, lacking energy

A hard jaw line, a jutting chin

Steady eye contact, large pupils

A hard jaw line, a jutting chin

A sudden stiffening posture, rigid muscles
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN amod JJ ),5.0,0.0045871559633,16,"Rubbing hands down one's pant legs

Dragging the palms down one's pant legs

Rubbing hands down one's pant legs

Dragging the palms down one's pant legs

Dragging the palms down one's pant legs
"
( NN nmod:poss CD ) ( CD case POS ) ( NN cc CC ) ( NN conj NN ),5.0,0.0045871559633,16,"Touching one's mouth or face

Pointing one's torso and feet toward the subject

Scratching one's neck or cheek

Rubbing one's forehead or eyebrows

Slapping one's knees or thighs
"
( VBG advmod RB ) ( VBG nmod NN ) ( NN case IN ),5.0,0.0045871559633,16,"Inhaling deeply through the nose, then exhaling through the mouth

Chin lowering and pulling back against the neck

Rubbing absently at the arms

The head pulling back as the shoulders push forward

Heart thudding dully in the chest
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( VBG nmod NN ) ( NN case IN ),5.0,0.0045871559633,16,"Shoving one's hands into pockets

Pulling the knees up to the chest, circling one's knees with the arms

Drumming one's feet against the floor

Poking one's tongue into the cheek

Poking one's tongue into the cheek
"
( VBG nmod NN ) ( NN case IN ) ( NN cc CC ) ( NN conj NN ),5.0,0.0045871559633,16,"Biting at the lips or nails

A hand pressing against the throat or breastbone

Rubbing at the forehead or temples

Clutching at the chest or belly

Rubbing at an eyelid or brow
"
( JJ nsubj NN ),4.0,0.00366972477064,17,"Pursing or pressing lips flat

Digging in a purse or pocket to keep the hands busy

Smoothing one's clothes or touching items to keep the hands busy

Fiddling with an object to keep the hands busy
"
( NN amod JJ ) ( NN cc CC ) ( NN conj NN ),4.0,0.00366972477064,17,"A red face and neck

Puffy face or eyes

A red face and neck

Puffy face or eyes
"
