nonoverlapping dependency,frequency,norm,rank,samples
( NN ),103.0,0.0387218045113,2,"Smiling

Breathlessness

Pacing

Giddiness

Disorientation

Sweating

Glaring

Muttering

Nausea

Complaining

Daydreaming

Scratching

Impatience

Praying

Dizziness

humming

Flirting

Stretching

Fumbling

Grimacing

Stuttering

Frowning

Sneering

Mocking

Gossiping

Blinking

Nose-wrinkling

Eavesdropping

Interrupting

Shrugging

Crying

Illness

Trembling

Moaning

Bargaining

Lightheadedness

Chills

Laughing

Coughing

Wincing

Speechlessness

Staring

Glowering

Squinting

Reaching

stalking

nodding

bobbing

weaving

pacing

Swearing

Complimenting

Blushing

Short-temperedness

Lying

pacing

Spontaneity

Restlessness

Whimpering

Scowling

Yawning

Fidgeting

Criticism

Sullenness

Insomnia

Fatigue

kissing

hugging

Jumpiness

Clumsiness

cleaning

Faintness

laughing

screaming

Hyperventilating

Flinching

Drowsiness

Perfectionism

Screaming

Manipulation

Apologizing

Gasping

pacing

Silence

Shaking

Obedience

Rudeness

Pouting

Name-calling

Arguing

Tears

Clapping

Bragging

Sarcasm

fawning

begging

pacing

clock-watching

Name-dropping

Hyperventilation

Swallowing

Sighing

Hesitation
"
( VBG dobj NN ),85.0,0.031954887218,3,"Quickening heartbeat

Fanning self

Stiffening posture

Voicing wonder

Rushing blood

Tingling skin

shaking a fist

crossing the arms

Clenching the jaw

fingering a collar

Wetting the lips

Fingering a necklace

Bouncing a foot

Initiating contact

Wrinkling the nose

Rubbing the chin

Using sarcasm

blowing a raspberry

Shaking the head

Sagging posture

Crossing the legs

Deflecting blame

Making excuses

Choosing isolation

Racing heartbeat

Practicing a skill

Stumbling mid-stride

covering the head

rubbing the arms

Cocking the head

Repeating No and other negatives

Thumbing the ear

Expressing concern

Pursing the lips

crossing the arms

closing a jacket

Getting the giggles

Slamming a door

Blowing a kiss

savoring food

Bearing the teeth

snapping a pen

throwing a chair

destroying property

Hitching chest

Clutching the stomach

Crossing the arms

Folding the hands

turning a cup

mangling a paperclip

Shrugging half-heartedly

tapping a pencil

Changing the subject

Forcing a laugh

scratching an eyebrow

adjusting glasses

Eyeing the exits

touching an ear

waxing the car

sitting close

Enjoying an event

Threatening violence

Avoiding the victim

Seeking reconciliation

Slumping posture

Expressing skepticism

Holding the stomach

Shunning the source

Running makeup

Ignoring the target

crossing the arms

averting the head

tapping fingers

Biting the fingernails

waving a cigar

Hiding the face

Touching the throat

Googling the suspect

Thumping heartbeat

clutching the arms

Licking the lips

Lowering the brows

Lifting the chin

Gritting the teeth

Wrinkling the brow
"
( VBG advmod RB ),21.0,0.00789473684211,10,"Squealing dramatically

Speaking boisterously

Looking downward

Waving dismissively

Nodding slowly

Stepping back

Shuffling backward

Sweating profusely

Weaving slightly

Swallowing hard

Rocking slightly

Arriving early

Swallowing frequently

Shaking uncontrollably

Clapping vigorously

Reacting defensively

Startling easily

Scratching compulsively

Responding slowly

Sighing dejectedly

Sitting quietly
"
( NN amod JJ ) ( NN appos NN ) ( NN amod JJ ),21.0,0.00789473684211,10,"Deploying sarcasm, insulting others

A blank look, a slack expression

A slackened mouth, displaying shock

Choppy responses, short sentences

High color, a flushed appearance

Happy tears, shining cheeks

A distinct walk, a fast-paced strut

Loud breaths, a heaving chest

A clenched jaw, gritted teeth

Slumped shoulders, limp posture

A beaming expression, glowing cheeks

A glassy stare, a glazed look

A warm voice, caring tone

A wide stance, open demeanor

Closed eyes, compulsive nodding

A flat look, narrowed eyes

Shoulders back, straight posture

Crossed arms, a wide stance

Kind words, a soothing tone

Tense muscles, rigid posture

Rounded shoulders, a slumped posture
"
( VBG dobj NN ) ( NN amod JJ ),21.0,0.00789473684211,10,"Releasing an appreciative sigh

Giving a small yelp

Displaying a wide grin

Baiting the other person

Posing hypothetical questions

Asking pointed questions

Lifting a single eyebrow

Doing a double take

Citing possible repercussions

Using excitable language

choosing a different chair

eating the same meals

visiting the same park

Watching romantic movies

Using a quiet voice

wearing the old clothes

Citing unreliable sources

Telling the unvarnished truth

Sagging facial features

Projecting hurtful observations

Listing the possible consequences
"
( VBG dobj NN ) ( NN cc CC ) ( NN conj NN ),20.0,0.00751879699248,11,"Speaking praise and compliments

Rubbing the arms or legs

shifting weight or position

Twisting a watch or ring

Verbalizing disappointment or denial

Exuding calm and focus

Crossing the arms or legs

Sharing a look or wink with another

Trembling lips and chin

Avoiding a person or place

Rubbing the nose or ears

Sharing secrets and desires

Doodling hearts and names

Tingling fingers and toes

Biting criticism and belittlement

Biting the lip or nails

Giving a toast or praise

Squeezing a shoulder or hand

Clutching the throat or chest

Rubbing the lips or chin
"
( VBG cc CC ) ( VBG conj VBG ),17.0,0.00639097744361,12,"Chuckling or cackling

Stomping or stamping

Sobbing or weeping

Yelling or shouting

nodding and grimacing

Prying or snooping

Rationalizing or justifying

Stuttering or stammering

Arguing or questioning

Flinching or cringing

Grimacing or swallowing

Cringing or shaking

Sprinting or running

Bowing or curtseying

Whistling or humming

Pushing and shoving

Wincing or grimacing
"
( NN amod VBG ),15.0,0.00563909774436,14,"A wavering voice

A pounding heart

A churning stomach

A booming laugh

A thickening voice

A shaking voice

A furrowing brow

A curling lip

A rolling stomach

A quivering chin

A hitching chest

A quaking voice

A condescending smile

An unmoving stance

A racing pulse
"
( VBG compound:prt RP ),14.0,0.00526315789474,15,"Backing away

Slinking away

Tearing up

Turning away

Shifting about

Backing up

Spinning away

Showing off

Seeking out those who shared the event

Reaching out to another for comfort

turning away

squatting down

Turning away

Looking down
"
( VBG dobj NN ) ( NN compound NN ),13.0,0.00488721804511,16,"Mimicking body language

Rising body temperature

Avoiding eye contact

Sweeping arm gestures

Rising blood pressure

Facing danger head-on

Breaking eye contact

Running a victory lap

changing direction mid-stride

Watching the source furtively

Adopting a sullen look

Darting eye movements

Floundering hand movements
"
