dependency,frequency1,frequency2,norm1,norm2,rank1,rank2,samples1,samples2
( NN amod JJ ),203.0,5.0,0.0763157894737,0.00574712643678,1,17,"murmuring affirmations

Visible shakiness

bumping tables

Flapping hands

Throat clearing

Eyebrows raising

A wide smile

Spontaneous laughter

Stalled breaths

Adrenaline spikes

Witty commentary

A high voice

Wheezy breath

Flaring nostrils

A high chin

Noisy breathing

Protruding eyes

Picking fights

Muscles quivering

Restless fingers

Narrowing eyes

Crossed arms

A sharp tone

Sweaty palms

Trembling hands

Fake swooning

Asking questions

Obsessive clock-watching

Restless legs

Light-hearted teasing

A strong handshake

An easygoing manner

Start-and-stop gesturing

An uncertain tone

Narrowed eyes

Asking questions

Ugly laughter

Negative thinking

Unkind observations

Raised eyebrows

Lingering touches

a sudden halt

Asking questions

Lackluster movements

Toneless responses

Vacant eyes

Wheezing breaths

Squinting eyes

Verbal disagreement

Widening eyes

Shuffling steps

A vacant stare

Hands moistening

A pained stare

An emotion-choked voice

A dry mouth

Tight muscles

Tightening fists

Strong posture

Precise movements

A fast-paced stride

A bitter smile

A heavy sigh

Restless fiddling

Eyes widening

Restricted breathing

Dragging footsteps

Heavy footsteps

Uncontrollable whimpering

Animated gesturing

Fluttery stomach

Embracing others

Feet shuffling

Twitching hands

Muscles bunching

Sweaty hands

A wide grin

Telling jokes

A loud voice

Bumping shoulders

Throaty laughter

A fast pulse

Heightened senses

Clammy hands

Tight shoulders

Rushed speech

A strained voice

Stilted speaking

A two-fingered salute

Consuming antacids

Fluid movements

A polite manner

A scathing tone

Deep breaths

A light-hearted feeling

Tingling limbs

Throat bobbing

Uncontrolled tears

Runny nose

Sluggish heartbeat

Drooping shoulders

An uneven step

loud breathing

Relaxed posture

Half-lidded eyes

Visible blushing

A hard smile

Tense muscles

Sensitive skin

Quickened pulse

Clenching teeth

Reckless behavior

bland clothing

lackluster hair

Acute senses

A slight smile

Subdued laughter

A shallow sigh

first car

a quick kiss

Teary eyes

Inappropriate responses

Difficulty breathing

Wide eyes

Bloodshot eyes

A rumpled appearance

Weight loss

Perfectionist tendencies

Compulsive behaviors

Catlike stretches

Languid movements

A satisfied sigh

Unhurried speech

A satisfied smile

Shaking extremities

Elevated pulse

Clouded vision

A pained expression

A nervous stomach

A slow smile

Shaky laughter

Wobbly legs

Buckling knees

A gaping mouth

An unsteady walk

A slight moan

Hesitant steps

repetitive gestures

crossed arms

Muttering negatives

Heartfelt apologies

Watering eyes

Hollowed cheeks

Catty behavior

A hard expression

A stiff stance

Slumped shoulders

Stooped posture

Shuffling footsteps

Small steps

Dull eyes

Unwashed hair

A half-hearted shrug

A long exhale

Splotchy skin

Quaking shoulders

A runny nose

A crisp nod

A biting remark

A tight jaw

A harsh squint

Bullying tactics

A puffed-up feeling

A blank look

Hunched shoulders

A perpetual slouch

Hitching breaths

following others

A confrontational stance

Sniping remarks

A silent look

A wide stance

An arrogant laugh

A thoughtful expression

A slow walk

Subdued personality

A negative outlook

Flushed skin

Quickened breaths

Adrenaline rush

A sad smile

a weak smile

an awkward hug

A heavy nod

Rasping breaths

A primal scream

Clammy skin

Forehead wrinkling

Shuffling feet

A shaky voice

Rigid posture

Careful words

Increased adrenaline
","Gather dust

No hard feelings

Pinch pennies

Tempt fate

Touch base
"
( NN compound NN ),71.0,2.0,0.0266917293233,0.00229885057471,4,20,"A flushed appearance

A slack mouth

A belly laugh

A corded neck

A pinched expression

A tilted-back head

A pensive expression

A downturned mouth

Stiff posture

A pinched mouth

A cracking voice

A lowering brow

A gaunt appearance

Body odor

A set jaw

A curt nod

A hunched posture

A stony expression

A hesitating nod

A bent neck

The chest caving

A bent spine

A trembling chin

A thinning mouth

A ruddy complexion

A shrill voice

An emotion-rich voice

An upturned face

A relaxed appearance

A bowed head

A flushed face

A hanging head

A tapping foot

pen clicking

A nonchalant attitude

An unhurried exit

A self-deprecating laugh

Wrist twisting

A roiling stomach

Body mimicking that of the rival

A monotone voice

arm stroking

holding hands

A relaxed posture

An unforced laugh

A knowing grin

A guttural roar

A knotted belly

A too-quick smile

A pleading tone

An unkind smile

A bowed spine

An aching chest

A scratchy throat

A puffed-out chest

A fist pump

eye contact

A thrust-out chest

A wrinkled nose

A jutting chin

A grave expression

A weighed-down feeling

A wrinkled brow

A fake smile

An understanding nod

a rush attack

A downcast expression

An impatient huff

A tapping heel

A furrowed brow

A jutting jaw
","Strike gold

Talk shop
"
( VBG dobj NN ) ( VBG nmod NN ) ( NN case IN ),53.0,1.0,0.0199248120301,0.00114942528736,5,21,"Laying a hand over the heart

Drumming feet against the floor

Folding the arms across the chest

Jittering a foot against the floor

drumming fingers against a leg

Approaching people with ease

Rubbing a hand through the hair

Running hands through the hair

Tapping a fist against the lips

Repeating a statement as a question

Placing a hand against the breastbone

Curling the arms over the head

Dragging nails down the cheeks

Forming hands into a steeple

Folding the arms over the stomach

Pressing hands against the stomach

Shoving hands in pockets

accepting a leaflet with reluctance

Thrusting a fist into the sky

Crossing the arms over the chest

Scrubbing a hand over the face

Pounding a fist against a tabletop

Placing a hand on the chest

Tingling warmth in the limbs

Pinning the arms against the stomach

pawing a hand through the hair

Swinging the arms while walking

Clasping hands under the chin

Wrapping arms around self

Placing hands on the hips

Hiding the hands in the pockets

Tucking the hands behind the elbows

swiping tears from cheeks

Scraping a hand through the hair

Rubbing a hand against the heart

Lacing fingers behind the head

Laying a hand against the breastbone

Asking questions about the fallout

running hands through the hair

Asking questions for clarification

Balling the hands into fists

Propping a cheek on a fist

Clapping someone on the back

Flapping a hand in dismissal

Pursing the lips in thought

Waving a hand in dismissal

Slapping hands against the cheeks

Patting a leg in comfort

wrapping arms around the belly

Clapping the hands over the ears

Slipping hands into pockets

Cutting the eyes toward the source

Pinching the skin at the throat
","Drag someone through the mud
"
( VBG nmod NN ) ( NN case IN ),49.0,1.0,0.0184210526316,0.00114942528736,6,21,"Widening of the eyes

Gasping for air

Snapping at people

Jumping at sounds

Asking those in authority for updates

Swatting at the air

Rocking in place

Asking for affirmation

Gazing with focus

Slumping into a chair

Tingling in the stomach

Tingling in the chest

Dancing in place

Pulling at the collar

Responding with anger

Hiding behind a book

Grabbing onto someone

Flinching at noises

talking with the hands

Keeping at a distance

Bouncing on the toes

Lunging at an enemy

Complaining under the breath

Picking at lint

scratching at cuticles

scuffing at the ground

Staying at a distance

disengaging from conversation

Breathing through the nose

Smiling at nothing

fiddling with the hands

Biting at lips

Falling against another person

Glancing around uneasily

Moving toward an exit

Begging for forgiveness

Breaking into sobs

Digging for tissues

Looming over the target

Crumpling under scrutiny

fussing with clothing

Arguing with the suspect

Crying with the person

Fumbling for words

bumping into things

Doodling on paper

Asking for reassurance

slumping in a chair

withdrawing from conversation
","Chomping at the bit
"
( NNP compound NNP ),47.0,2.0,0.0176691729323,0.00229885057471,7,20,"Lips parting

A radiant glow

Reduced blinking

Mouth drying

Excessive saliva

Feeling overheated

Cracking knuckles

Manic pacing

Visible sweating

Difficulty swallowing

Light sarcasm

Head shaking

Excessive swallowing

Rapid blinking

Snorting loudly

Body shielding

Eye rolling

Increased swallowing

Alert gaze

Mouth slackening

Openly staring

Dry heaving

Increased heartbeat

Whooping loudly

Leaning closer

Quick heartbeat

Dry mouth

Repetitive swallowing

Palms hidden

Rapid speaking

Enthusiastic waving

Body shielding

Cold sweat

Face tightening

False bravado

Facial tics

Poor balance

Nostrils flaring

Bent posture

Offering restitution

Loose jaw

Excessive sleeping

Rewarding oneself

Loose posture

A gasp

Copious sweating

Increased thirst
","Go ballistic

Remain nameless
"
( VBG dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),29.0,1.0,0.0109022556391,0.00114942528736,8,21,"Adjusting one's clothing

Deepening one's tone

Grinding one's teeth

Tugging one's hair

Curling one's toes

Changing one's stance

Biting one's lip

Wringing one's hands

Clutching one's hands

Licking one's lips

Relaxing one's posture

Lowering one's head

ducking one's chin

Scratching one's jaw

Showing one's palms

Wrinkling one's nose

Averting one's gaze

Shuffling one's feet

Biting one's cheek

Rushing one's words

Pursing one's lips

Checking one's breath

holding one's elbows

Rubbing one's forearms

Crossing one's arms

curling one's fingers

Clenching one's teeth

moistening one's lips

Shaking one's head
","Drag one's feet
"
( NN nmod NN ) ( NN case IN ),25.0,2.0,0.0093984962406,0.00229885057471,9,20,"A reddening of the face

Whimpers of mirth

A tightening in the chest

A lack of energy

A shake of the head

A tightening under the eyes

Lightness in the chest

Shakiness in the limbs

Weakness in the knees

A feeling of breathlessness

A flutter in the belly

A jolt through the body

A loss of coordination

Weakness in legs

Tightness in the chest

A pounding in the ears

Loss of appetite

A loss of appetite

strength in voice

A lightness in the chest

Thickness in throat

A tightness in the face

A bark of laughter

hands in pockets

Circles under the eyes
","Fall through the cracks

No bed of roses
"
( NN compound NNP ),16.0,1.0,0.00601503759398,0.00114942528736,13,21,"Cold eyes

Mental insults

Chin tremors

Quick movements

Cold fingers

Open palms

Laugh lines

Offering compliments

Angry tears

Pigeon toes

Quick breaths

Uncertain steps

Loose limbs

Tension headaches

Wet eyes

Body tremors
","Cut corners
"
( VB dobj NN ),13.0,68.0,0.00488721804511,0.0781609195402,16,1,"Finger-tapping a tabletop

gripping the elbows

Covering the mouth

Offering a wave

Raising the voice

Closing the eyes

Slack muscles

Weak muscles

Blank features

Offering a thumbs-up

Weak knees

Raising the eyebrows

Covering the face
","Beat the system

Bite the dust

Break the ice

Build a bridge

Call the shots

Cause a stir

Crack the whip

Cry wolf

Cut the cord

Do something for all you're worth

Do the trick

Draw the line

Drop a bombshell

Fit the bill

Fly the coop

Get a grip

Get a headstart

Get an earful

Get the message

Get the picture

Get the sack

Go bananas

Go the distance

Grab the headlines

Have a brainstorm

Have the munchies

Hit the books

Hit the hay

Hit the jackpot

Hit the mark

Hit the sack

Hold all the aces

Join the club

Know the score

Learn the ropes

Lend a hand

Lend an ear

Look the part

Make a killing

Make a splash

Name names

Pass the torch

Pave the way

Pay the price

Play ball

Play chicken

Play the field

Pull some strings

Reinvent the wheel

Rock the boat

Scratch the surface

See the light

Set the stage

Shoot the breeze

Smell a rat

Soften the blow

Steal the show

Sweep the board

Take a beating

Take a raincheck

Take the cake

Take the plunge

Test the waters

Throw a fit

Tip the balance

Turn the tables

Upset the applecart

Wield the axe
"
( NNP dep NN ) ( NN nmod NN ) ( NN case IN ),9.0,3.0,0.00338345864662,0.00344827586207,20,19,"Holding the head in the hands

Holding an object as a shield

Covering the face with hands

Offering a wave of thanks

Heat that radiates through the chest

Covering the face with the hands

Covering the mouth with a hand

Covering the hands with the face

Poor communication with others
","Blow the whistle on something

Burn the candle at both ends

Pat someone on the back
"
