verb,frequency,norm,pmi,samples
have,5.0,0.0196078431373,0.618340767723,but every body else had something to say		body has their level		Every body had a degree of gravity and sorrow		never had any body such good neighbours		for I suspected his soul had more of will and ambition than his body had of fibre and muscle
found,5.0,0.0196078431373,1.48973617969,and found the two bodies laying in the edge of the water		she wished to see what every body found so well worth seeing		but he answered to either of these that a body found handy in an emergency		On following him they found the dead body stretched out upon the grass beside the pool		Lestrade showed us the exact spot at which the body had been found
lay,4.0,0.0156862745098,1.06974297102,Various other bodies lay scattered in different directions around them		Coming to the spot where the bodies of her adopted brothers lay		they went to a small lodge where the black body of Iamo lay		a human body lay quiet on its face near the gates
say,3.0,0.0117647058824,1.10896368417,body said that Mr		that every body says he need not eat a single meal by himself if he does not chuse it		will any body say
hear,3.0,0.0117647058824,1.18692522564,and such another clack a body never heard		Let every body on the Hill hear me if they can		when a body could be heard
know,3.0,0.0117647058824,1.18692522564,I do not know any body who draws so well as you do		every body knows Mrs		till it is found out that every body knows them
think,3.0,0.0117647058824,1.2424950768,She feared it was what every body else must think of and predict		She could not but suppose it to be a match that every body who knew them must think of		just such as almost every body would think tall
live,2.0,0.0078431372549,0.954813004344,if the body lives		The two old bodies had lived in the same parish for seventy years
take,2.0,0.0078431372549,0.335773795938,I reckon a body that ups and tells the truth when he is in a tight place is taking considerable many resks		Byron took up the limp body and began to prepare it
got,2.0,0.0078431372549,0.703498576063,she succeeded in getting its body tucked away		got out the body and dumped it rudely on the ground
sway,2.0,0.0078431372549,0.954813004344,but swayed his body and plucked at his hair like one who has been driven to the extreme limits of his reason		He swayed his body forward
do,2.0,0.0078431372549,0.926642127377,but what can a body do		A body is always doing what he sees somebody else doing
invite,2.0,0.0078431372549,0.954813004344,At Christmas every body invites their friends about them		body invited
like,2.0,0.0078431372549,0.846599419703,which every body likes in _him_		am sure I should like any body fixed on by you
marry,2.0,0.0078431372549,0.983800541217,it does not follow that he might marry any body at all fit for you to notice		Martin would ever marry any body but what had had some educationand
exhibit,1.0,0.00392156862745,0.608188396258,The body exhibited no traces of violence
rag,1.0,0.00392156862745,0.608188396258,and clothes his body in rags
force,1.0,0.00392156862745,0.578335433109,and forced my reluctant body out of the Hotel de 
set,1.0,0.00392156862745,0.0,how he _could_ help a body set a nigger free with his bringing-up
bury,1.0,0.00392156862745,0.493778045081,in which during the previous year more than three thousand bodies had been buried
pamper,1.0,0.00392156862745,0.608188396258,thus pampering the body and obviating the aim of this institution
crowd,1.0,0.00392156862745,0.608188396258,and the body of the building was crowded with the aristocracy and first burghers of the town
give,1.0,0.00392156862745,0.298033467955,We cannot give any body the disagreeable hints that we may have been very full of the hour before
feel,1.0,0.00392156862745,0.441134311595,I think every body feels a north-east windI
measure,1.0,0.00392156862745,0.608188396258,The undertaker had come to measure the body for its wooden dress and she was required to bring him into the room where Sabina
worm,1.0,0.00392156862745,0.608188396258,he wormed his small body through the crowd and saw the dismal spectacle
expect,1.0,0.00392156862745,0.578335433109,and about what a body might expect of boys
skin,1.0,0.00392156862745,0.608188396258,and then skin the body and roast a piece of it
follow,1.0,0.00392156862745,0.521177019269,bodies follow heads
seem,1.0,0.00392156862745,0.298033467955,Every body seemed happy
saw,1.0,0.00392156862745,0.608188396258,his body sawed drunkenly about with the weaving motion of the ship
occur,1.0,0.00392156862745,0.608188396258,any body else occur to you at this moment under such a definition
whip,1.0,0.00392156862745,0.608188396258,and scourge thy body with whips
speak,1.0,0.00392156862745,0.441134311595,She believed every body spoke well of him
appear,1.0,0.00392156862745,0.493778045081,The body of illustrious men named by the late King as his executors appeared
fill,1.0,0.00392156862745,0.298033467955,how like a man it was to let him lie here uncovered and fill his body with deadly rheums
raise,1.0,0.00392156862745,0.115711911161,Injun Joe helped to raise the body of the murdered man and put it in a wagon for removal
tire,1.0,0.00392156862745,0.608188396258,because a dream does tire a body like everything sometimes
deserve,1.0,0.00392156862745,0.608188396258,any body can deserve him
supposedand,1.0,0.00392156862745,0.608188396258,more than any body had ever supposedand
visit,1.0,0.00392156862745,0.578335433109,He's happen gone to visit some poor body in a sick gird
amaze,1.0,0.00392156862745,0.608188396258,the body of Dissenters were first amazed
encourage,1.0,0.00392156862745,0.608188396258,I never encouraged any body to marry
continue,1.0,0.00392156862745,0.549347896236,If the bodies continued missing until Sunday
want,1.0,0.00392156862745,0.608188396258,that to promise not to do a thing is the surest way in the world to make a body want to go and do that very thing
contain,1.0,0.00392156862745,0.608188396258,he said in those rough full tones which contained the very body of sound
lodge,1.0,0.00392156862745,0.608188396258,every body might be lodged
advise,1.0,0.00392156862745,0.608188396258,and advise every body to come and sit down
confine,1.0,0.00392156862745,0.578335433109,It was weather which might fairly confine every body at home
tell,1.0,0.00392156862745,0.549347896236,than a body could tell what to do with
oscillate,1.0,0.00392156862745,0.608188396258,while her body oscillated backward and forward
draw,1.0,0.00392156862745,0.153452239144,I did then forswear ever drawing any body again
move,1.0,0.00392156862745,0.276054561236,The body moved
re-cover,1.0,0.00392156862745,0.608188396258,the body was eventually recovered
get,1.0,0.00392156862745,0.415816503611,if a body can get anything they pray for
rub,1.0,0.00392156862745,0.441134311595,by rubbing the body and applying medicines
punish,1.0,0.00392156862745,0.608188396258,punish her body to save her soul
expose,1.0,0.00392156862745,0.549347896236,The dews of a summer evening are what I would not expose any body to
rise,1.0,0.00392156862745,0.549347896236,when body and soul rise in mutiny against their rigour
hang,1.0,0.00392156862745,0.367026339442,Between his hands hung the limp body and he wrenched at the skin in a growing fury of impatience
strike,1.0,0.00392156862745,0.441134311595,Every body who sees it is struck by its beauty
chuse,1.0,0.00392156862745,0.578335433109,I hope some body will chuse my wife for me
attack,1.0,0.00392156862745,0.608188396258,"""that a body of rioters has attacked Mr"
put,1.0,0.00392156862745,0.0,The body of this poor child was put into a copper cylinder filled with alcohol
squeeze,1.0,0.00392156862745,0.549347896236,for if the beam had been wholly cut away Injun Joe could not have squeezed his body under the door
come,1.0,0.00392156862745,0.415816503611,we did not know any body was coming
throw,1.0,0.00392156862745,0.298033467955,and throwing his body into the Mississippi
_,1.0,0.00392156862745,0.441134311595,for his dead body _kills _people
look,1.0,0.00392156862745,0.172870325001,and a man that every body looks up to
stiffen,1.0,0.00392156862745,0.608188396258,Her body stiffened suddenly and
pierce,1.0,0.00392156862745,0.608188396258,but she had een that pierced a body through
equalled,1.0,0.00392156862745,0.608188396258,that any body should have equalled her in the date of the plan
see,1.0,0.00392156862745,0.0,Every body must have seen the snow coming on
Find,1.0,0.00392156862745,0.608188396258,Find some body for me
try,1.0,0.00392156862745,0.549347896236,a body might as well try to give Goliar the slip
sicken,1.0,0.00392156862745,0.608188396258,then for the fit of mute fury which will sicken his body and madden his soul
whence,1.0,0.00392156862745,0.608188396258,whence issues the body of one that slept
prepare,1.0,0.00392156862745,0.608188396258,prepared every body for their keeping dinner-company
niched,1.0,0.00392156862745,0.608188396258,his body niched in the comfort of the big chair
push,1.0,0.00392156862745,0.467109797999,pushing the body from him
possess,1.0,0.00392156862745,0.549347896236,and the only military body in England possessing the privilege which
sink,1.0,0.00392156862745,0.521177019269,or sinking their bodies in the Mississippi
