verb,frequency,norm,pmi,samples
knit,4.0,0.047619047619,1.54991284903,nor one who knits such a formidable brow when sitting over a book that interests him		while he was knitting his brow or protruding his lip over some exercise of mine		knitting his brows over the to-morrow which was about to dawn		He knitted his dark brows but the memories connected with it escaped him
contract,2.0,0.0238095238095,1.0962456391,his brow contracted		ere I could contract my brows to a frown she had become serious and almost mournful-looking
draw,2.0,0.0238095238095,0.671362445137,His brows were drawn into two hard black lines		yet drew his brows together
put,1.0,0.0119047619048,0.0,her brow put aside a veil
speak,1.0,0.0119047619048,0.55357940948,a somewhat heavy brow speaks temper
droop,1.0,0.0119047619048,0.606223142966,"""She waited with declined brow and ringlets drooped"
arch,1.0,0.0119047619048,0.720633494143,arching his brows in surprise
lean,1.0,0.0119047619048,0.388499659121,leaning my brow against his knotty trunk
cross,1.0,0.0119047619048,0.579554895883,Almost stern lights sometimes crossed his brow and gleamed in his eyes
mark,1.0,0.0119047619048,0.690780530994,his brow marked and square
come,1.0,0.0119047619048,0.528261601496,his brows came together in the familiar line and Mrs
circle,1.0,0.0119047619048,0.633622117154,I see the evenings passed in that little parlour like a long string of rubies circling the dusky brow of the past
ruffle,1.0,0.0119047619048,0.720633494143,Madame's brow had not been ruffled during the sceneher
wear,1.0,0.0119047619048,0.66179299412,her brow and strong traits wore yet the impress of her inexorable soul
press,1.0,0.0119047619048,0.325320757499,Some might say it was the foreign crown pressing the King's brows which bent them to that peculiar and painful fold
gem,1.0,0.0119047619048,0.720633494143,The heart's blood must gem with red beads the brow of the combatant
furrow,1.0,0.0119047619048,0.720633494143,the brow furrowed
darken,1.0,0.0119047619048,0.720633494143,His brow darkened
incline,1.0,0.0119047619048,0.579554895883,incline to mine that brow of Heaven
invest,1.0,0.0119047619048,0.720633494143,I managed to invest his brows with this grand adornment
clear,1.0,0.0119047619048,0.633622117154,overcast brow cleared
cover,1.0,0.0119047619048,0.209807870377,covers her vast calm brow with a dim veil
surround,1.0,0.0119047619048,0.690780530994,You could not have guessed by looking at any one of them that the Italian-ironed double frills of its net-cap surrounded the brows of a preordained
remain,1.0,0.0119047619048,0.690780530994,while his brow remained grave
crinkle,1.0,0.0119047619048,0.720633494143,his brow was all crinkled with anger
become,1.0,0.0119047619048,0.388499659121,the raised knit brow and inexplicable curve of the mouth became straight again
round,1.0,0.0119047619048,0.228157009046,Round his brow he had a peculiar yellow band
