verb,frequency,norm,pmi,samples
set,11.0,0.0326409495549,1.78417868892,they was set up three or four foot above ground on stilts		a generation before the oldest bald-head in the company had ever set his foot in a pilot-house		I doubt if ever he set foot in the town		Scarce had they set foot on the solid opposite bank when a shot split the air from the north		she forbade the housemaids to set their foot in it		set her feet on the floor		to set foot in a conventicle		and finally died without ever having set a foot upon any part of the world but London Bridge alone		as I set my foot on the first step of the stair		from setting foot on her carpeted staircase till they had severally put off that mask of Old Christmas they now affected		Nevertheless the force which had already set his feet upon a hidden road drove him forward and he took his accustomed way across the now slushy yard
put,5.0,0.0148367952522,0.580205884595,"But he put his foot on the gunnel and rocked her		I did not once put my foot out of doors		Tom heaved a great sigh as she put her foot on the threshold		she puts out her foot that it may touch mine		""I shall go home and never put foot inside this door no more"
draw,3.0,0.00890207715134,0.877457408063,If the boat was known to make her best speed when drawing five and a half feet forward and five feet aft		If the boat was known to make her best speed when drawing five and a half feet forward and five feet aft		and considered himself to be drawing nine feet of water
stand,3.0,0.00890207715134,1.02203863687,and stood the lath up four or five foot in front of the wigwam		in which the water was standing two feet on the floors		stood balancing in his habitual way from one foot to the other
have,2.0,0.00593471810089,0.0,and even had his foot on the upper step outside the door		one of whom had remarkably small feet and the other unusually large ones
feel,2.0,0.00593471810089,0.877457408063,felt her foot pressed by Mrs		felt his foot and leg
slip,2.0,0.00593471810089,1.01465852958,but my foot slipped and she floated out further		The prancing feet slipped and he fell
dress,2.0,0.00593471810089,0.985670992704,her feet were dressed in silk stockings and small white satin sandals		feet dressed for the gliding dance
stamp,2.0,0.00593471810089,1.01465852958,Becky thought her father had never looked so tall and so superb as when he walked the floor and stamped his foot and said that		but the mock-King stamped his foot and cried out
be,2.0,0.00593471810089,0.497967786358,There was five feet in the upper river then		Not a foot of soil is to be seen anywhere
run,2.0,0.00593471810089,0.712377657704,when it rises a foot more you can run another dozen		a quick tripping foot ran up the stairs
hear,2.0,0.00593471810089,0.930101141549,Adele's little foot was heard tripping across the hall		a foot was heard on the outer door-step
