verb,frequency,norm,pmi,samples
bound,2.0,0.0377358490566,1.05309523642,His forehead was bound with a wreath of sweet grass		was bound My throbbing forehead on
wipe,2.0,0.0377358490566,0.973052528744,and wiped his forehead with a spotted cotton handkerchief extracted from the hat-crown		wiped his forehead with his handkerchief
clear,1.0,0.0188679245283,0.64763012831,first it seemed as if her forehead cleared
tap,1.0,0.0188679245283,0.620231154122,then tapped his forehead several times with his fingers
have,1.0,0.0188679245283,0.0,Her forehead has the expanse of a cloud
unbend,1.0,0.0188679245283,0.734641505299,"""You unbend your forehead at last"""
feel,1.0,0.0188679245283,0.567587420636,for I felt my forehead dewy
crown,1.0,0.0188679245283,0.734641505299,The dim forehead was crowned with a star
damp,1.0,0.0188679245283,0.734641505299,her forehead damp
please,1.0,0.0188679245283,0.734641505299,"does my forehead not please you"""
Soon,1.0,0.0188679245283,0.734641505299,Soon I had traced on the paper a broad and prominent forehead and a square lower outline of visage
rest,1.0,0.0188679245283,0.0567617968703,and they kneeled down and rested their foreheads on the coffin
beat,1.0,0.0188679245283,0.675801005276,and beat his forehead in futile rage
receive,1.0,0.0188679245283,0.675801005276,cheek and hueless forehead received a glow as from spreading
cover,1.0,0.0188679245283,0.223815881533,to cover her frank forehead with the rosy shadow of shame
fancy,1.0,0.0188679245283,0.70478854215,I could fancy her forehead as open as it was really elevated
kiss,1.0,0.0188679245283,0.64763012831,softly kissing my forehead and cheek
press,1.0,0.0188679245283,0.339328768655,and press his pale forehead with his fraternal lips
prop,1.0,0.0188679245283,0.675801005276,I propped my forehead on both my hands
declare,1.0,0.0188679245283,0.70478854215,The forehead declares
shape,1.0,0.0188679245283,0.70478854215,Do you observe that your forehead is shaped like minethat
