verb,frequency,norm,pmi,samples
stretch,3.0,0.0526315789474,0.84675880342,and stretched his legs out till one of them most touched one of mine		he stretched out his legs in front of the fire and laughed heartily for some minutes		his legs stretched out in front of him
dangle,2.0,0.0350877192982,1.08126611338,and dangled our legs in the water		and dangled their legs against the bench in excess of contentment
fork,1.0,0.0175438596491,0.734641505299,or wilt thou fork thy holy legs over this ill-conditioned slave of a mule that I have provided for myselfand
wedge,1.0,0.0175438596491,0.734641505299,You see we have been wedging one leg with paper
notice,1.0,0.0175438596491,0.734641505299,that his leg mightn't be noticed
like,1.0,0.0175438596491,0.567587420636,she either didn't like his wooden leg or she'd some notion about his being a hypocrite
quake,1.0,0.0175438596491,0.734641505299,his legs quaked under him and he was like to choke
shut,1.0,0.0175438596491,0.446959432848,to see it shut its legs against its body and pretend to be dead
dragged,1.0,0.0175438596491,0.70478854215,the fringed legs dragged in the dirt when not rolled up
break,1.0,0.0175438596491,0.620231154122,break your leg in the moatbecause
wooden,1.0,0.0175438596491,0.734641505299,"wooden leg and all"""
trip,1.0,0.0175438596491,0.70478854215,which latter tripped their legs from under them from time to time and greatly increased the fun
ache,1.0,0.0175438596491,0.567587420636,she had even a whimsical feeling that her legs ached
carry,1.0,0.0175438596491,0.675801005276,He sprang away and sped down the hill as fast as his legs could carry him
divest,1.0,0.0175438596491,0.734641505299,Miss Abbot turned to divest a stout leg of the necessary ligature
fail,1.0,0.0175438596491,0.675801005276,my legs do fail me
expose,1.0,0.0175438596491,0.675801005276,and _force_ the King to expose his leg in the highway and beg for alms
dress,1.0,0.0175438596491,0.675801005276,when we dress the leg it will be another thing
fetch,1.0,0.0175438596491,0.70478854215,fetch the leg a kick
clap,1.0,0.0175438596491,0.517577000062,and I clapped my legs together on it and she went on talking
