verb,frequency,norm,pmi,samples
shrug,4.0,0.0512820512821,1.55300882673,"but you shrug your shoulders to hear him talk""		Simon shrugged his shoulders and raised his eyebrows		She first shrugged her shoulders at him		an oracle that made me shrug my shoulders as soon as I had got outside the door"
set,2.0,0.025641025641,0.482567415032,masters and teachers had to set their shoulders to the wheel		set his own shoulder to the wheel
got,2.0,0.025641025641,0.819039651653,but got only a cold shoulder and short words from mates and clerks		and instead had got the cold shoulder and a jail
be,2.0,0.025641025641,0.582650873589,when she found that her shoulders were nowhere to be found		There is not a shoulder in England on which you would rest your hand for support
like,2.0,0.025641025641,0.962140495293,against whose shoulder and cheek it likes to purr		and a great abstraction on whose wide shoulders I like to lay the mountains of blame they were sculptured to bear
stand,2.0,0.025641025641,0.819039651653,and all the pilots stood shoulder to shoulder at his back		and all the pilots stood shoulder to shoulder at his back
limp,1.0,0.0128205128205,0.723729471848,limping step and bowed shoulders gave the appearance of decrepitude
caress,1.0,0.0128205128205,0.693876508699,veil her neck and caress her shoulder with their tendril rings
touch,1.0,0.0128205128205,0.506664966611,till the jetty curls almost touch his shoulder and wave against his cheek
trust,1.0,0.0128205128205,0.693876508699,it will not trust my shoulder as a safe stay
open,1.0,0.0128205128205,0.0771023069234,he opened out unusually broad shoulders and the candlelight revealed a face of black shadows and strong saliences
lean,1.0,0.0128205128205,0.391595636826,leaning over their shoulders now and then to glance at the rules drawn up and the list of cases making out
stoop,1.0,0.0128205128205,0.723729471848,among the bulky forms and stooping shoulders of the elderly men
offer,1.0,0.0128205128205,0.723729471848,but a fool to offer my shoulders instantly for the reception of another burdenone
offered,1.0,0.0128205128205,0.664888971826,you offered me your shoulder once before
wear,1.0,0.0128205128205,0.664888971826,so long as her broad shoulders _wore_ the folds of that majestic drapery
put,1.0,0.0128205128205,0.0,put your shoulder to it
hold,1.0,0.0128205128205,0.0305822912885,And the quiver on your shoulder holds more arrows than one
look,1.0,0.0128205128205,0.288411400591,so I looked over my shoulder to dodge the bullet
cover,1.0,0.0128205128205,0.212903848082,I covered my shoulders with a shawl
bow,1.0,0.0128205128205,0.636718094859,his shoulders bowed
turn,1.0,0.0128205128205,0.0,his lady turned a cold shoulder on him for a week afterwards
