verb,frequency,norm,pmi,samples
got,3.0,0.0322580645161,1.06274192999,But when she got her tongue again		Her tired tongue got a chance to rest		When my tongue once got free
set,2.0,0.0215053763441,0.438587620915,Mention of the war will wake up a dull company and set their tongues going		have set in motion the tongues of the gossips
give,2.0,0.0215053763441,0.775059857536,"here gave tongue in the hall		gave me the treat of hearing my native tongue spoken without accent by an English girl"""
falter,2.0,0.0215053763441,1.02637428582,tongue falters while I tell it		when my tongue faltered
thrust,2.0,0.0215053763441,0.94413618758,he spent some three minutes in thrusting out his tongue at me as far as he could without damaging the roots		John thrust his tongue in his cheek whenever he saw me
hold,2.0,0.0215053763441,0.39206760528,for they knew that she had not prudence enough to hold her tongue before the servants		how very wise it is in people placed in an exceptional position to hold their tongues and not rashly declare how such position galls them
control,1.0,0.010752688172,0.649896714582,In such ecstasies that he even controlled his tongue and was silent
clamp,1.0,0.010752688172,0.679749677732,emphasizing each slow down-stroke by clamping his tongue between his teeth
pronounce,1.0,0.010752688172,0.679749677732,for it seemed as if my tongue pronounced words without my will consenting to their utterance
bound,1.0,0.010752688172,0.592738300742,and the fetters that bound their tongues were considered to be locked and the key thrown away
rest,1.0,0.010752688172,0.00186996930275,but her tongue rested
touch,1.0,0.010752688172,0.462685172494,produced by touching the tongue to the roof of the mouth at short intervals in the midst of the musicthe
guard,1.0,0.010752688172,0.679749677732,and thou must guard thy tongue from saying evil of them elsewhere
curb,1.0,0.010752688172,0.679749677732,curb that tongue of yours
go,1.0,0.010752688172,0.462685172494,as fast as her tongue could go
utter,1.0,0.010752688172,0.620909177709,my tongue would not utter the request I had prepared
curl,1.0,0.010752688172,0.538671079472,he could curl his tongue around the bulliest words in the language when he was a mind to
trust,1.0,0.010752688172,0.649896714582,it would not do yet to trust my unpractised tongue with the delivery of explanations
check,1.0,0.010752688172,0.679749677732,The tongues were checked
quicken,1.0,0.010752688172,0.649896714582,"""The eagerness of a listener quickens the tongue of a narrator"""
unseal,1.0,0.010752688172,0.679749677732,It would be some relief to unseal his tongue for a little while
trip,1.0,0.010752688172,0.649896714582,that traitor tongue tripped
make,1.0,0.010752688172,0.326109637488,his dry tongue made a hoarse feeble sound
tie,1.0,0.010752688172,0.538671079472,but his tongue was tied
betray,1.0,0.010752688172,0.679749677732,Your tongue betrays you
practise,1.0,0.010752688172,0.679749677732,yet it is well to practise thy tongue to wary speech
be,1.0,0.010752688172,0.133205971364,but though his tongue was still
begin,1.0,0.010752688172,0.538671079472,His silvery tongue began to wag
loose,1.0,0.010752688172,0.679749677732,he loosed his tongue and poured the history of his own recent misfortunes into the ears of his astonished listener
run,1.0,0.010752688172,0.347615842709,His tongue ran constantly
do,1.0,0.010752688172,0.592738300742,her tongue did ample justice to the pith
found,1.0,0.010752688172,0.462685172494,then found his tongue and fell to blustering and threatening
deliver,1.0,0.010752688172,0.679749677732,give advice in her mind which her tongue never delivered
express,1.0,0.010752688172,0.592738300742,with a folly which no tongue could express
hang,1.0,0.010752688172,0.438587620915,with its tongue hanging out of its mouth
dart,1.0,0.010752688172,0.592738300742,Tongues of flame darted round the bed
speak,1.0,0.010752688172,0.512695593069,professing to speak the English tongue with the purest metropolitan accent
succeed,1.0,0.010752688172,0.679749677732,"a gude Scots tongue always succeeds well at the French"""
lay,1.0,0.010752688172,0.225013520617,calling Sherburn everything he could lay his tongue to
a-going,1.0,0.010752688172,0.679749677732,her tongue was a-going all the time
come,1.0,0.010752688172,0.487377785084,Have the cloven tongues come down again
flutter,1.0,0.010752688172,0.679749677732,my tongue fluttered
nor,1.0,0.010752688172,0.679749677732,nor any truth-accustomed human tongue curb the cry
tellWelcome,1.0,0.010752688172,0.679749677732,as much as tongue can tellWelcome
bring,1.0,0.010752688172,0.438587620915,but this name had so long been sacred to him that he found he could not bring his tongue to profane it
anticipate,1.0,0.010752688172,0.679749677732,my under-lip voluntarily anticipated my tongue of course
wag,1.0,0.010752688172,0.649896714582,every tongue wagged
turn,1.0,0.010752688172,0.0,his eye would light and his eloquent tongue would turn itself loose
suppose,1.0,0.010752688172,0.679749677732,was fetched therefrom by the wife whose tongue was supposed to drive him thither
drill,1.0,0.010752688172,0.679749677732,and to drill ninety tongues in what
leaped,1.0,0.010752688172,0.679749677732,and from every rent leaped a red tongue of flame and a white gush of smoke
become,1.0,0.010752688172,0.347615842709,The tongue of the old man became silent
