verb,frequency,norm,pmi,samples
turn,28.0,0.0276134122288,1.62349528388,"turning his eyes towards Jane		also turning a fascinated eye towards the dimly gleaning mirrorI		but as all eyes were now turned to one point		he had hardly turned his eyes in my direction before		he turned his eyes towards me		and he would never once turn his eyes in my directionbecause		I turned my eyes from him		Diana and Mary relieved me by turning their eyes elsewhere than to my crimsoned visage		his eye had turned on me		Wickham was the happy man towards whom almost every female eye was turned		she involuntarily turned her eye on Charlotte		she turned her eyes on the daughter		It was not often that she could turn her eyes on Mr		but that his eyes were so often turned towards her side of the room		lack-lustre eye turned upon the newcomer		it was difficult to turn her eyes from his eyes		Just turn your eagle eye to it""		and only turned her eyes from the encounter of your own lest their clearness should reveal too much		and turned his eyes upon the door with manifestations of impatient expectancy		then turned his eyes around and about		his blue eye turned		she ordered me to turn my eyes from her face		The priest within the confessional never turned his eyes to regard me		turned his heavy eyes on the doctor		Turning sharply she fixed brave blue eyes on his face		turned his eyes contemptuously from the spasmodically moving door-knob		Aunt Louisa turned her quiet grey eyes on the other woman and in them was a suggestion from		snipping the thread of a finished hem and turning her grey eyes on Mrs"
fix,26.0,0.025641025641,2.19207367515,"shaking his head and fixing his eyes on her with tender concernThe		and quite unconscious on what her eyes were fixed		Her eyes are fixed on the floor		fixed her eyes on the fire		and was beginning to determine not to fix his eyes on Elizabeth		and fixed his eyes upon herself		his eyes fixed vacantly upon the corner of the ceiling		His chin was cocked upward and his eyes were fixed in a dreadful		she leaned her check on her hand and fixed her eyes on the carpet		and fixing his eyes on the grate		""You can't fix your eyes on him but his presently flash on you		she fixed her eyes on the deep-burning west		and the boys fixed their eyes on the goal of their hopes and bent to their work to win it		every eye fixed itself upon him		as if his longing eyes had been fixed		the eyes fixed on him reproachfully		his eyes are fixed on that summit		but my eyes were fixed on the crimson peak above		she fixes her eye on me		it turned and fixed its eyes on Mrs		her eyes fixed on the glossy panels of the dining-room door		fixing her eye on the heroine of the bottle		and fixed my eyes on a dreary religious painting darkening the wall		a face which had fixed narrowing eyes on her		his eyes fixed on the swelling and diminishing flow of the water		She glanced up suddenly and met that cool grey eye fixed on her consideringly"
have,23.0,0.0226824457594,1.54976617137,"and was thought to have a tolerable eye in general		you must have had very strong eyes to see as you doand		who have an eye for natural beauties		but that blue eye of his had a habit of leaving the outlandish- looking grammar		Bixby had his eye on these airs		had a hundred sharp eyes to watch it for him		and you have a quick eye for colour		least she has eyes like it		Certainly Miss Mann had a formidable eye for one of the softer sex		Has he not fine eyes and well-cut features		your eyes have a languid look""		and yet have not eyes to see nor ears to hear withal		and the Lady Edith will be so mad with joy that they will have eyes and tongue for none but me in the first transports of the meeting		And my eyes had a pleasure in looking at Mdlle		never remembered that I had eyes in my head		his blue eye had a cloud in its glitter		I have had my eye on her several times since you withdrew yours		by his stepping up to me one morning and whispering solemnly that he ""had his eye on me		Because he had the eye to see his opportunity		the third time my eye had scarce dawned beyond the obscuration of the desk		he had fine eyes and a thrilling glance		He had the inward eye of the dreamer and		His features were set and his eyes had an inward look"
keep,18.0,0.0177514792899,1.79024493468,and kept my eyes on him steady		I kept my eyes peeled		Alice kept her eyes anxiously fixed on it		I cannot keep my eyes from it		I cannot keep my eyes from her		But I kept my eye on it		I should be glad if the superintendent and teachers were requested to keep a strict eye on her		keep your eyes on her movements		keeping his eyes fixed on the page he perused		and keeping an eye canted up watching the shells		& ask him to keep an eye on me		I shall keep an eye on him		and I kept a keen eye upon my two companions		kept his eyes directed towards the glittering brasses on the shelf above		What her brown eye and clear forehead showed of her mind was in keeping with her dress and facemodest		and keeping a furtive eye out		and he meant to keep an eye on the case		Aunt Louisa kept a thoughtful eye upon her
meet,17.0,0.0167652859961,1.95523127947,My eye met his as the idea crossed my mind		All eyes met her with a glance of eager curiosity		and she met all eyes with one of rebuff and coldness		met my eye like the lineaments of a once familiar face		nothing important met his eye which did not receive that sort of analytical attention which an experienced and philosophical traveler alone can give		Their eyes instantly met		He had just seen their eyes meet onceonly		scarcely a picturesque object met my eye along the whole route		I met her eye too in fullobliging		the object that met my eyes was Miss Marchmont awake		his form was the first object that met my eyes as I entered the parlour		Our eyes met		Again and again that eye just met mine		but where his questioning eyes met dishonest denialwhere		his eyes met my smile		there were thousands to meet his eye and divide its scrutinywhy		His eye met Mrs
open,15.0,0.0147928994083,1.58613381554,It seemed as if her eyes were suddenly opened		I opened my eyes on her disksilver-white		and she opened her blue eyes wild and wide		You open your eyes like an eager bird		the necessity of opening her eyes to his character never occurred to me		opening her eyes from a moment's slumber		After a time he opened his eyes again		Tom Canty stirred out of a heavy sleep and opened his eyes in the dark		Amazement had hardly opened her eyes and raised them to mine		opening her large eyes and lifting her distinctly arched brows		I opened my eyes with precaution		to open her weary eyes on that understanding smile		No man shall instruct deaf ears or open the eyes of the blind		As she opened her eyes she realized that she was not in her sea-scented upper chamber at Hember		Tom opened her eyes quickly and from that moment forgot herself and her reluctance in an absorbed attention
fall,12.0,0.0118343195266,1.60960617172,when her eye fell upon a little bottle that stood near the looking-glass		and when her eyes fell only on the butcher with his tray		how often had her eyes fallen on the same shrubs in the lawn		if ever her dark and imperious eye fell on me by chance		And how the fervency of this mute gratitude was augmented when his eyes fell upon the life-giving cordials which I carried in my hands		That gentleman's eye fell on his desk		as her eye fell under his		for his eye fell upon the stolid face of Injun Joe		my eye fell upon your name		my eyes fell		my eye fell on many a black-beetle		And here my eye fell on an easy-chair covered with blue damask
shut,11.0,0.0108481262327,1.65739683556,eyes now shut		I that evening shut my eyes resolutely against the future		Shut my eyes as I would		inasmuch as I could shut my eyes and reel off a good long string of these names without leaving out more than ten miles of river in every fifty		when I had so mastered its shape that I could shut my eyes and trace it from St		his deep-sunken eyes were shut		shutting his eyes once more		with your eyes shut		Sabina shut her eyes the better to realize the situation		In her blithe confidence Sabina had shut her eyes to the small disloyalties of the past		If only she could have shut the eyes of her mind
lift,11.0,0.0108481262327,1.13752137627,shaking back her curls and lifting her eyes to the ceiling		Lifting his eye to its battlements		who had not lifted his eyes from his book		to lift up my eyes and hands with a Supplehough		lifting her eyes slowly		Shirley lifted her eye to his		and then quickly lifted his eyes with a startled look in them		while lifting its eye to that of the public		lifted up his eyes and gazed at her		Home did not lift his eyes from his breakfast-plate for about two minutes		lifting his eyes to the good sun
see,10.0,0.00986193293886,1.16492035046,"and you could see his eyes shining through like he was behind vines		One day the sister saw the eyes of the head brighten		had she not seen his eyes likewise turned towards Mr		though I saw his wicked little eyes fixed on my face		they are confident then that the eyes of others can see in it no fascination		Quail where no eye sees you""		I saw her eyes by the snow-gleam		I never saw such eyes and brows in England		His quick eye had seen the letter on the floor where I sought it		saw his courageous eyes and took heart of grace"
raise,10.0,0.00986193293886,1.36559104592,"and having the arrogance to raise his eyes to her		She again raised her eyes to me		Bennet raised his eyes from his book as she entered		she raised her eyes to his face		and now and then raising her unseen eyes to my face to read there my thoughts""		the minister raised his streaming eyes above his handkerchief		Eulalie raised her unmoved eye to mine		she would at last raise her eyes and give me a certain glance		what sort of face it was to which my eyes were raised and on which they were fixed		he for one instant raised his eyes to mine"
close,9.0,0.00887573964497,1.38806390177,The Dormouse had closed its eyes by this time		his eyes were closed		Barraclough entirely closing his naturally half-shut eyes as he delivered it		refreshing sleep closed her eyes and calmed her senses		When I close my eyes I seem to see poor papa's epitaph in black letters on the white marble		his eyes closed		as her eyes closed and her rosy lips parted in coming sleep		close an eye by daylight		In the end I closed the eyes of my dead
cast,9.0,0.00887573964497,1.5215952944,She cast her eye over it		I only cast my eyes down on the two large feet planted on the rug		Cast your eye on me		cast his eye around		with his eyes cast down and his hand thrust into the breast of his frock-coat		and that she seemed to cast a conscious eye in his direction at such times		When I first cast my eyes on her		her eyes cast down		will not disdain to cast an occasional eye upon her
fill,9.0,0.00887573964497,1.45260242291,my eyes filled again		whilst tears filled the eyes of both		only the brown eyes filled		a tear would fill her eyes and fall on her busy hands		My eye is yet filled with visions of the high-flounced		Her eyes filled		while his eye was filled and his ear fed		the deepest happiness filled his blue eye and smoothed his broad forehead		its purport made my eyes fill
wander,8.0,0.00788954635108,1.46502494291,as my eye wandered from face to face		His eye wandered		My glazed eye wandered over the dim and misty landscape		My eye involuntarily wandered to the grey church tower near the gates		Their eyes were immediately wandering up in the street in quest of the officers		Her light grey eyes wandered continually from one to the other		blue eye was wandering		In the midst of vivacious discourse her eye still wandered to Caroline
cover,7.0,0.0069033530572,1.02878817614,her eye of flint was covered with its cold lid		My eyes were covered and closed		covered those keen eyes with tinted glasses		He covered his eyes with his hand		covering her eyes with her hands		covering his eyes with his hands to shut out the picture		His eyes and face were covered with his hands
flash,6.0,0.00591715976331,1.26500380902,"how your eyes flash""		though your eyes don't flash		her eyes flashed		her eyes flashed large		his eyes were flashing		her eye quite flashed"
catch,6.0,0.00591715976331,1.23902832261,as soon as she could catch his eye again		when my eye caught something which brought a gush of hope back to my heart		His eye in the moment caught the gleam of something white attached to a part of the harness		whose eye had at last caught the object it sought		I caught the eye of the latter fastened steadily upon me		had caught his eye and had done more than that
