verb,frequency,norm,pmi,samples
turn,25.0,0.0386996904025,1.78776462712,"I turned my face away to conceal a smile I could not suppress		turning her face rather from me		I turned my face away and put his aside		I turned his face from the cushion to me		Instinctively I turned my face again to the village		I turned my face aside from the lovely sky of eve and lonely vale of MortonI		his face turned to me		As he turned aside his face a minute		His face turned red with passion		and turned his face towards us		to turn my face away from the window		Her face was turned towards him		""let us turn our faces to the cool morning breeze		that God had turned His face from her		but he would turn his face to the wall		but she pushed him away and turned her face to the wall		he turned a joyful face toward the two lords in waiting		and whilst the lash was applied the poor little King turned away his face and allowed unroyal tears to channel his cheeks unchecked		I quitted the wall and once more turned my face towards X		Just then I turned my face a little to the light		turning his face in my direction one momentnot		on turning my face to the wall		and accordingly steadily turned my face to the sleeve of Dr		had turned his face towards the cliff		turning on her a face from which the tide of emotion had ebbed"
see,16.0,0.0247678018576,1.87370705692,but I confess that I have seldom seen a face or figure more pleasing to me than hers		I saw her face and dress by the light of the lamps		and I saw his face all kindled		I never saw a face like it		I had nowhere seen such faces as theirs		I had never seen that handsome-featured face of his look more like chiselled marble than it did just now		What was seen after I recognized the face that was pleading through the bars was seen by others		I had stooped and was scraping at this to see exactly what it was when I heard a muttered exclamation in German and saw the cadaverous face of the colonel looking down at me		Turning her head as she arranged it she saw her own face and form in the glass		They saw each other's young faces by the starlight and that dim June twilight which does not wholly fade from the west till dawn begins to break in the east		I saw a different face there to what I see nowrounder		Caroline saw her face as she looked after the rude tutor		You are repaid by seeing the child besmear his face with sugar		This afternoon I must not see That yet pale face in school		and now I saw a face dressed in graces		they had to look on Him whose face flesh scarce can see and live
have,8.0,0.0123839009288,0.842405553556,"and had her face in her hands		a present has many faces to it		I had a friend's face under my gaze		In a minute I had my face under their bonnets		She has the face of the most beautiful of women		The rest only had their faces blackened""		He had a fine face when he was young		he had his face against the gate-bars"
look,7.0,0.0108359133127,1.37776436385,and then for a body to look in and see my face was like looking down a joint of stove-pipe		It looked a lovely face enough		a pale face looked over the solicitor's shoulderyes		The poor fellow's face looked haggard with want		that makes all her face look		his plain face looked positively handsome with goodness		while his face looked benevolently compassionate
grow,7.0,0.0108359133127,1.48094860008,"since the mere utterance of his name made her face grow hotthe		""My face grew hot		And her face grew white		his face grew gentle as he began to speak		His face grew savage and rage rose in a black flood about his heart		His face grew bleak with the intensity of his emotion		for now his face had grown so clear to her"
stand,6.0,0.00928792569659,1.36939611418,I stood face to face with him		I stood face to face with him		stood a quarter of a yard broad round the face of the wearer		Ere you are aware you stand face to face with a shrouded and unthought-of calamitya		Ere you are aware you stand face to face with a shrouded and unthought-of calamitya		whose beer-jolly faces stood out strongly in the glare from manifold torchesand
cover,6.0,0.00928792569659,1.16872541871,I covered my face with the bedclothes		and covering her face with her handkerchief		Miles Hendon sank into a chair and covered his face with his hands		and covered their faces with their hands		his face covered with his hands		and a genuine English blush covered his face with its warm witness of sincerity
lit,6.0,0.00928792569659,1.48717914983,and her face and her eyes was all lit up like glory		rapture lit her face as she unfolded it		But his face lit up		his face lit with the thought		The climbing fire lit up their faces and threw its ruddy glare upon the pillared tree-trunks of their forest temple		so they stopped right before me and the cigars lit up their faces and I see that the big one was the deaf and dumb Spaniard
bring,5.0,0.0077399380805,1.28423830584,I was brought face to face with Necessity		I was brought face to face with Necessity		and once was brought face to face with its owners		and once was brought face to face with its owners		his Greek face was brought to a level with mine
become,5.0,0.0077399380805,1.19326652763,your face became soft in expression		who held an opinion that when her lord dropped asleep after a good dinner his face became as the face of an angel		who held an opinion that when her lord dropped asleep after a good dinner his face became as the face of an angel		her face became a little blancheda		her face became gradually more and more expressive of thought and feeling
