verb,frequency,norm,pmi,samples
put,38.0,0.0428893905192,2.0418058531,and puts his hands together and says		that you could paddle right up and put your hand on them if you wanted to		and put his hand on his heart		and then put their hand on their head		and in despair she put her hand in her pocket		Just put your hand in mine		I put out my hand to feel the dark mass before me		You have already as good as put your hand to the plough		she put her hand on my shoulder		I put her cool hand to my hot forehead		He put out his hand with a quick gesture		I did not like to put my hand into a hireling's		and put his hand on me		Louis association put his hand into the till and walked off with every dollar of the ample fund		and had it pigeon-holed in his head where he could put his intellectual hand on it whenever it was wanted		and then she put her hands behind her		At which words Miss Keeldar put her hand into Caroline's with an impulsively affectionate movement		and put both her hands into his		He put his hand in his pocket and drew it out empty		She put her hand to mine as if to remove it from the lock		He put his hand there and uttered this incantation impressively		He put his hand on his jacket pocket		Twice she put out her hand to take the garment again		Injun Joe put his hand on his knife		You see we knew right where to put our hands on them		put her hands upon his shoulders		must put out his hand and find that thing		but Hugh put up his hand in dissent		I put my hand gently on her shoulder		and puts her hand on my shoulder		put your hand into the pockets		If Lucy Snowe were discovered to have put her hand to such work		She put a hand to her head		She put her hands to the sides of the trolly and sat erect		She put her hand on the shelf to find the matches		He put his hands on the arms of the chair and sought to rise		As he put his hands into the dipper he noticed they were trembling and		Crossing the room he put a hand on the high mantelshelf in search of his pipe
shake,28.0,0.0316027088036,1.85620560485,My hands shook		and most shook the hands off of them frauds		and actually shaken hands with her at last		she must have shaken hands with him as heartily as ever		The teachers then shook hands with me and kissed me		She came and shook hand with me when she heard that I was her governess		Why my hand shook		he thought proper to forget even to shake hands with me		then Bob and the Child shook hands with each other		he shook hands with me and gave me a $50 green back		and recognizing and metaphorically shaking hands with a hundred familiar objects which no longer exist		she even shook hands with the former		They shook hands with great cordiality		and shook hands with such warmth		shaking hands with us warmly		shook hands and passed a jest with each		shaking hands with both Farren and his wife		Miss Keeldar shook hands with her		shaking hands with them cordially		Helstone shook hands heartily when they had fairly got the whole party through the lane		_is_ shaking hands with him		and then shook hands with me		he shook hands with the rest present		shook hands with us all round		since he and I shook hands at our last parting in St		and frankly stretched across the table a white hand to be shaken		observing that his hands shook		He shook hands with Mrs
hold,27.0,0.0304740406321,2.17475432528,"but my hand was held by a grasp of iron		And still holding my hand she made me rise		held his hands out before him		and Miss de Bourgh exerted herself so far as to curtsey and hold out her hand to both		The lady had taken a quick step forward and had held out her hand to him		You held out your hand for an egg		And she held up her small hand with an admonitory gesture		she only required that you should hold your hand out and take it		held her hand over Mr		She could hold half a dozen hands like yours in her one palm		she held his hand in hers		and Tom gave Becky the pencil and held her hand in his		he would stay by her and hold her hand until all was over		I again held out my hand when I left the room		She had held out her hand to methat		holding out my hand without looking at her		He held out his hand at partingan		and with that one hand held her poised aloft above his head		she held out her hand to keep him off ""Then		she held out her hand to bid him a friendly good-night		holding her hands plastered together		When my godmother had held my hand for a little while		held his hand out to me		his olive hand held my desk open		She held my hand between hers		he held forth his hand with his tribune gesture		he was holding his trembling hands before the blaze and the flames were leaping over the heap of sea-rimed fuel"
laid,22.0,0.0248306997743,2.05682490889,"so I laid my hand on it and said it		The King laid his hand upon her arm		Four hands were immediately laid upon me		He laid a heavy hand on my shoulder		I laid my hand on the back of a chair for support		He laid his hand on my head as he uttered the last words		you would have laid your hand on the Christian's cross and the angel's crown		some unseen hand laid it gently on his shoulders		""We never laid hands on a thing		the deep stillness of the place laid a clammy hand upon the spirits of the children		Hendon laid his hand upon his arm		a rough hand was laid upon him and a voice exclaimed		Just as I laid my hand on the handle of the dining-room door		she laid her hand on the jewel within		Once I laid my hand on her head		He laid his hand on the child's uplifted head		One laid hands on my trunk		but when another laid hands on me		I just laid my hand on his arm		she sought until she laid her hand on a substitute to her mind		he now laid hands on a reel of thread which he proceeded recklessly to unwind		Tom laid her hand on fingers already growing rigid"
take,19.0,0.0214446952596,1.85354956079,"he tried to take her hand again		she took her hand from my arm		took her hand and examined her pulse		Reed took her hand away		then presently took away his hand and let the knob turn back again		the coal smoke turns it into an antiquity the moment you take your hand off it		and affectionately taking her hand said in reply		I can take on no more hands to oblige all England""		A kind hand took from her her shawl and bonnet		I saw him from the window take your hand in his long fingers		Caroline took her hand when she was dressed		He would have taken Caroline's hand and joined it in the same clasp in which he held Shirley's		She took her hand and placed her finger on her wrist		took her hand and drew her to the couch		Huck was always willing to take a hand in any enterprise that offered entertainment and required no capital		my hand was taken into hers		as she took her sire's cold hands and rubbed them		And this dear ""parrain"" took her hand and lifted it to his grateful lips		He took my hand in one of his"
stretch,16.0,0.0180586907449,1.78788045728,The flame illuminated her hand stretched out		as he stretched out his hand and bent from the saddle		his hand was already stretched towards Mr		when I stretched my hand out cordially		he stretched forth his hand as if to feel whether it rained		He stretched his right hand the		I stretched my hand to take a glass of water from a hireling		Then he stretched his hand out to be led		Additional Curates' Society to stretch a helping hand to worn-out old rectors and incumbents		stretched the hand of fraternity to sedition		All at once a hand was stretched to mesuch		stretched out their hands toward Tom		who stretched forth his hand and cried out		I ventured to stretch my hand to the bonnet-grec which lay in grim repose on the window-sill		to stretch out my hand and grasp her fast		He had stretched covetous hands to what Old Squire had set apart for his descendants and in his own way
lift,12.0,0.0135440180587,1.29308882139,"that even when she lifted her hand against his life		He lifted his hand and opened his eyelids		had lifted my hand against a pilot on duty		he lifted his lean hand and waved us peremptorily away		He lifted hands and eyes		she lifted her hand and bade him ""Hush""		""I deserve to hear that in a moment when I can scarce lift my hand to my head		the ladies would lift up their hands and let them fall helplessly in their laps		the clergyman lifted his hands and began a prayerjust		Ginevra once or twice lifted her hand and arm		it is a new thing to see one testily lifting his hand to screen his eyes		They would see him wronged and not lift a hand to prevent it"
have,12.0,0.0135440180587,1.01218643592,"because the devil had had his hands on it		and when he had his hand in and was excited		and he most always had his hands in his britches-pockets		had any hand in it""		I have neither hand nor nails""		and one who had his hand on the door-knob and had turned it		Sir Walter had so large a hand in making Southern character		Whatever he had a hand in must be managed handsomely		but it suffices to explain why Caroline would have no other hand than William's to guide her chair		but if only the worthy ones got His blessings and had His hand to help them over the rough places		Four times he had his hands on that rich treasure and four times it wasted to nothingness in his fingers as sleep forsook him and wakefulness brought back the hard reality of his misfortune		but he still had his hands on that which he had taken"
lay,10.0,0.0112866817156,1.47885611135,did that make you think you had grit enough to lay your hands on a _man_		Reed's hands still lay on her work inactive		and how I had deluged him with all the water I could lay hands on		For hours all hands lay under the burden of this suppressed excitement		and yet was seldom able to lay my hand on my new name when it was needed		It must be where she can lay her hands upon it		shall lay a hand upon him to harm him		Whatever belonging to Madame's work-table or toilet she could lay her hands on		He spent himself in the attempt to lay hands on her		but the hungry man knew where to lay his hand on a rabbit pasty
putt,9.0,0.010158013544,1.50614825364,putting her hand before her face		putting my hand into hers		So putting my hand in through the open window		putting my hands and my purse behind me		putting her white hand on my head		Putting his hands into his pockets		putting her hand into mine		putting her hand to her heart		Putting both hands to the work
