verb,frequency,norm,pmi,samples
shake,34.0,0.0552845528455,2.2126876736,"The Dormouse shook its head impatiently		The Hatter shook his head mournfully		The Knave shook his head sadly		Knightley shook his head at her		shaking his head and fixing his eyes on her with tender concernThe		But Emma still shook her head in steady scepticism		and she read it with a degree of pleasure and admiration which made her at first shake her head over her own sensations		at which Miss Miller shook her head disapprovingly		she shook her head at me		he was shaking his head and looking fierce		he shook his head when I expressed my hopes		and smiled and shook her head by turns		and he shook his head with a smile as he noticed my questioning glances		she gave a cry of hope which sank into a groan as she saw that my companion shook his head and shrugged his shoulders		I still shook my head and declared my intention of remaining where I was		shook his head solemnly		But Holmes shook his head gravely		shaking her head and heaving a deep sigh		and as she said them she shook her head slightly and sighed		Miss Helstone shook her head and sighed		Caroline shook her head gently		Thatcher shook her head feebly and turned paler than ever		and frowned and shook her head at Tom		then shook his head and muttered		then shook his head and said		when the Lord Protector shook his head and said		shook his head slowly		She shook her head expressively		I shook my head as implying a negative		The father shook his head with half a smile		She shook her head over his childishness		He shook his rough head as if the lights were dazzling him and		He shook his head over the word as something of which the meaning escaped him		he had said they ought to put their wishes into writing but she had shaken her bright head with ""Time enough yet"""
turn,16.0,0.0260162601626,1.33336737264,and then she turned her head around slow		and by only turning her head a little she saw it all		turned his head slowly towards where I stood		You're not turning your head to look after more moths		and not turning his head or eyes		but the sad-faced paddlers never turn their heads to look at our boat		turning his head from left to right		Turning her head as she arranged it she saw her own face and form in the glass		he occasionally turned his head towards the window		Will he turn his head towards this pew		and turned her picturesque head towards the questioner		it turned Caroline's head aside		she but turned her head a little		though she turned her head from me		I sharply turned my head away		turning her head now to this side
lift,13.0,0.0211382113821,1.53562663079,"I lifted my head and tried to look boldly round the dark room		for he never lifted his head as we approached		I lifted up my head to look		who had lifted her head to listen to her sister		The plants lift up their heads out of the earth		lifting her fair head from Moore's shoulder		She did not lift her head to speak to Fanny		lifting her head with glad grace		She lifted her head with the quick motion of revived sensation		and Rose never lift her head at all		and yet lifting her head above both help and sympathy""		lifting her head from the pillow		Not being quite tall enough to lift my head over his desk"
put,10.0,0.0162601626016,0.944569317018,When he had got out on the shed he put his head in again		and when I reckoned he was gone he come back and put his head in again		but Eliza just put her head in at the door		He put his head in and saw me on the floor reaching for the backing bells		he put his head out		he put his head out of doors		so he put his head through and began		put his head out		Just put your head in at English cottage doors		Once or twice during the afternoon he put his head in at the door
rest,8.0,0.0130081300813,1.22347170182,I rested my head against a pillow or an arm		and rested her head upon them		Resting my head on Helen's shoulder		Now he made an effort to rest his head on my shoulder		a large old pointer dog rested its massive head on the knee of one girlin		to rest my head on her knee		You suffer him to rest his head on your perfumed lap		as I sat down by the bed and rested my head and arms on the pillow
lean,8.0,0.0130081300813,1.56921757522,"leaning her head on her hand		whose head leant against my shoulder		""look how she leans her head towards him as if she were conversing confidentially		his head leant back		and leant my head against the stone frame of my door		Lean your head on my shoulder		and leaning her head upon a cushion		and stood leaning my head and arm against the embowering branch of a huge laburnum"
have,7.0,0.0113821138211,0.695108457386,he had an uncommon level head for a nigger		and had a bald head and very gray whiskers		that anything that had a head could be beheaded		And then she had such a fine head of hair		and that for that one trip the captain left off his kid gloves and had his head shaved		and had had his poor romantic head turned by it		I never had a head for science
nod,6.0,0.00975609756098,1.50895838371,it nodded its head towards her horn		His head nodded		and nodded his head with satisfaction		and kept nodding his head and saying		and the other boy nodded his head in recognition of them		Aunt Louisa nodded her trim grey head in the direction of Church Town
hang,6.0,0.00975609756098,1.40887492515,came to the place where the head was hung up		and told her the head was hung up before the council-fire		I blushed and hung my head before Mrs		He hung his head and could not think of anything to say for a moment		he could think of nothing but the scaffold and the grisly fate hanging over the heads of the condemned		hanging his big head and balancing from one foot to the other
throw,5.0,0.00813008130081,1.18573137383,the lightning was glaring and flittering around so constant that we could see them plenty soon enough to throw her head this way or that and miss them		when he threw down the head and sack		throwing back her head and looking defiantly at Lestrade		heads thrown back		The man threw back his head and
