verb,frequency,norm,pmi,samples
drop,2.0,0.0377358490566,0.957183609958,then dropped on one knee at his feet		dropping upon his knee again
rest,2.0,0.0377358490566,0.471675794176,until one knee rested upon the edge		but I only rested my knee on the seat
tremble,2.0,0.0377358490566,0.861873430154,but her knees trembled under her and she felt how little would be gained by her attempting to pursue them		my knees now trembled under me
bend,2.0,0.0377358490566,0.908393445789,"""I bent a knee to the flags at her feet		When I bend the knee to other than God"
be,1.0,0.0188679245283,0.197546688129,His knees were what I wished to see
set,1.0,0.0188679245283,0.0974632295723,and set his knees almost within the bars of the red grate
love,1.0,0.0188679245283,0.714237431348,I know somebody to whose knee that black cat loves to climb
knock,1.0,0.0188679245283,0.685249894474,his knees were knocking together and he was trembling
used,1.0,0.0188679245283,0.685249894474,and used her knees for praying rather than scrubbing
embrace,1.0,0.0188679245283,0.714237431348,embraced her knees with her arms
take,1.0,0.0188679245283,0.0662106860682,In a man it is perhaps better first to take the knee of the trouser
seem,1.0,0.0188679245283,0.433935466194,but at that moment her knees seemed to give way and she fell to the ground
throw,1.0,0.0188679245283,0.433935466194,when a girl tries to catch anything in her lap she throws her knees apart
