verb,frequency,norm,pmi,samples
open,11.0,0.0628571428571,1.77991429013,to open my lips or move my limbs was equally impossible		and would not open his lips till he believed himself to have attained it		and Holmes had not yet opened his lips to reply		one would think that when I open my lips in company I speak English with a ridiculous accent		opened his lips as if to speak		her lips opened		only opening his lips at intervals to damn his horse		opening her lips for the first time		and was opening my lips to speak to it		She was opening her lips to retort		She opened her lips but found herself voiceless and gasping
curl,5.0,0.0285714285714,1.59231567624,she curled her lip and moved to another casement		bridling her neck of ivory and curling her lip of carmine		She curled her lip and tossed her tresses		curling his lip at the same time		curled her lip as she took her place in the class
compress,5.0,0.0285714285714,1.61898392332,compressing his well-cut lips while he did so		his lips compressed		and observe her lips compressed		his lips compressed		then I remarked that she compressed her lips and contracted her brow
press,4.0,0.0228571428571,1.15575998106,pressing his lips on my lips		I pressed my lips to his once brilliant and now rayless eyesI		press my lips to what I loveto		to press their rosy lips with her own
pass,3.0,0.0171428571429,0.95323571695,neither meat nor drink had passed my lips that day		passed his lips in allusion to it		But ere the words had passed his lips she was across the snowy road
quiver,3.0,0.0171428571429,1.26908866637,his lips were quivering		her lip quivered		Her lip quivered
smile,3.0,0.0171428571429,1.21351881521,his lips smiled		her lips tremblingly smile		the grey lips smiled at her
part,3.0,0.0171428571429,1.26908866637,His lips parted		her lips parted		as her eyes closed and her rosy lips parted in coming sleep
unclose,2.0,0.0114285714286,1.01039413079,as his lips unclosed to ask		her lips would not unclose
escaped,2.0,0.0114285714286,1.01039413079,Scarcely had the words escaped her lips when she tried by a smile to deny the confession of disappointment they seemed to imply		but now words escaped her lips unawares
move,2.0,0.0114285714286,0.708113258917,Once his lips moved to speak		His lips moved
tremble,2.0,0.0114285714286,0.752565021488,the faintly-tinted lips trembled		Her lip trembled
approach,2.0,0.0114285714286,0.925836742762,"stooped and approached his lips to my ear		She approached her lips to my ear""Isidore"
utter,2.0,0.0114285714286,0.981406593917,while her lips uttered only affable commonplaces		lips would not utter
drop,2.0,0.0114285714286,0.847875201293,"lips had not dropped one sharply-accented word		my lips dropped the word ""oui"""
turn,2.0,0.0114285714286,0.0,I turned my lips to the hand that lay on my shoulder		His lips and cheeks turned whitequite
protrude,1.0,0.00571428571429,0.575941485809,while he was knitting his brow or protruding his lip over some exercise of mine
set,1.0,0.00571428571429,0.0,set his lips tight
forget,1.0,0.00571428571429,0.634781985832,Your lips have forgotten Louis'
escape,1.0,0.00571428571429,0.634781985832,the words seeming to escape her lips involuntarily
contrive,1.0,0.00571428571429,0.634781985832,I think her lips and eyes contrived the affair between them
consecrate,1.0,0.00571428571429,0.634781985832,nor lips consecrate
close,1.0,0.00571428571429,0.260088536391,She closed her lips and resumed the Gazette
sip,1.0,0.00571428571429,0.634781985832,sipping lips by which its brim was courted
half-opened,1.0,0.00571428571429,0.634781985832,he half-opened his lips as if to speak
apply,1.0,0.00571428571429,0.634781985832,but applying my lips for the third time to the cup
visit,1.0,0.00571428571429,0.604929022682,it is as if sweetest dew visited my lips in a full current
parch,1.0,0.00571428571429,0.634781985832,yet I see that your lips are parched
ting,1.0,0.00571428571429,0.634781985832,while his lips and the corners of his nostrils were tinged with a shade of blue
wet,1.0,0.00571428571429,0.604929022682,"wet the lip of the phial"""
carmine,1.0,0.00571428571429,0.634781985832,carmine lips and cheeks
achieve,1.0,0.00571428571429,0.634781985832,"surely there cannot be error in making written language the medium of better utterance than faltering lips can achieve"""
be,1.0,0.00571428571429,0.0882382794639,her lips were a little apart
hover,1.0,0.00571428571429,0.634781985832,and on whose lips the word 'vulgarity' is for ever hovering
touch,1.0,0.00571428571429,0.417717480594,it touched my lips in passing
honour,1.0,0.00571428571429,0.634781985832,"""It honours the lips it crosses"
swell,1.0,0.00571428571429,0.604929022682,the lips were swelled and dark
express,1.0,0.00571428571429,0.547770608842,his lips expressed something almost like the wordless language of a mother who finds a child greatly and unexpectedly changed
reach,1.0,0.00571428571429,0.442410093184,and stood on tiptoe to reach his lips for a kiss
kiss,1.0,0.00571428571429,0.547770608842,Tom kissed the red lips and said
fall,1.0,0.00571428571429,0.21926654187,His lip had fallen
put,1.0,0.00571428571429,0.0,Then he broke into a low laugh and put his lips to my ear
bit,1.0,0.00571428571429,0.634781985832,though he bit his lip from time to time
_,1.0,0.00571428571429,0.467727901169,_his_ lips let fall no caustic that burned to the bone
bring,1.0,0.00571428571429,0.393619929015,she brought her lips into very shy and gentle contact with my forehead
stir,1.0,0.00571428571429,0.634781985832,his interpreting lips stirred
lift,1.0,0.00571428571429,0.0,then lifted his lip and made a gingerly snatch at it
curve,1.0,0.00571428571429,0.634781985832,but her lips were curving as if over a pleasant thought
employ,1.0,0.00571428571429,0.604929022682,and employed his lips in whisperingwhat
continue,1.0,0.00571428571429,0.575941485809,but his lips continued sealed
menace,1.0,0.00571428571429,0.634781985832,his lips menaced
round,1.0,0.00571428571429,0.142305500734,round her lips at moments played a smile which revealed glimpses of the tale or prophecy
left,1.0,0.00571428571429,0.634781985832,"""Good-night"" left my lips in sound"
