verb,frequency,norm,pmi,samples
open,3.0,0.0294117647059,0.779595349902,nor would the wretched boy open his mouth for all our persuasions and our threats		She opened her mouth with wisdom		every mouth opened
look,2.0,0.0196078431373,0.703222371117,His mouth certainly looked a good deal compressed		his mouth looked fastidious
close,2.0,0.0196078431373,0.763846992933,and succeeded in closing his mouth again before he lost anything out of it		The parents' mouths were closed
be,1.0,0.00980392156863,0.186531627899,The mouth of the cave was up the hillsidean
used,1.0,0.00980392156863,0.674234834244,that the mouth used to be at Baton Rouge
purse,1.0,0.00980392156863,0.733075334267,her mouth pursed upthe
have,1.0,0.00980392156863,0.0,her mouth has not that charm I thought it had
cleanse,1.0,0.00980392156863,0.733075334267,to cleanse his mouth and fingers with
make,1.0,0.00980392156863,0.379435294023,"but she made mouths at me instead of speaking"""
move,1.0,0.00980392156863,0.400941499244,and the pilots say that within five years the river will cut through and move the mouth down five miles more
reach,1.0,0.00980392156863,0.540703441619,and at last they reached the mouth of the Arkansas about
see,1.0,0.00980392156863,0.0399281537067,first saw the mouth of the Missouri River
call,1.0,0.00980392156863,0.733075334267,or what is now called the mouth of the Red
shade,1.0,0.00980392156863,0.674234834244,and shaded his mouth with his hands
uncover,1.0,0.00980392156863,0.733075334267,uncovering the black mouth of the passage
touch,1.0,0.00980392156863,0.516010829029,her mouth touched with turns of sweetness as well as defined in lines of sense
constrict,1.0,0.00980392156863,0.733075334267,And then a spasm constricted her mouth for an instant
work,1.0,0.00980392156863,0.618664983089,but her toothless mouth worked as if over a choice morsel
wipe,1.0,0.00980392156863,0.566021249604,wiping his mouth with the back of his hand and
speaketh,1.0,0.00980392156863,0.733075334267,because out of the heart the mouth speaketh
