verb,frequency,norm,pmi,samples
put,3.0,0.0428571428571,0.253241463809,plainly intimated to you that it was my intention to put my old bachelor's neck into the sacred noose		and put my neck voluntarily under her yoke of flowers		had put her hands round the thick neck of the largest of the curs
round,3.0,0.0428571428571,0.918217767402,They both threw their arms round his neck at once		and having arranged the ribbon of the instrument round her neck with a quiet fraternal kindness he knew to be all-powerful in soothing her most ruffled moods		unceremoniously threw her arms round her neck and demanded a kiss
bend,2.0,0.0285714285714,0.881850123231,and was delighted to find that her neck would bend about easily in any direction		and bend his neck under your yoke
stretch,2.0,0.0285714285714,0.541982297609,stretching their necks and listening		and stretched his neck out towards the preacher
crane,2.0,0.0285714285714,1.0931592169,and pressed forward and craned their necks to see the small rioter		saw the grey figure on the heights and craned their necks to watch his perilous progress
cover,2.0,0.0285714285714,0.612186556282,Diana's duskier tresses covered her neck with thick curls		covering carefully her neck and her arms
set,1.0,0.0142857142857,0.0709199070151,which sombre garb singularly set off very fair necks and faces
twist,1.0,0.0142857142857,0.658706571917,though he twisted the necks of the pigeons
bow,1.0,0.0142857142857,0.63053569495,Bow your neck and spread
sever,1.0,0.0142857142857,0.71754707194,from which the neck had been severed
cut,1.0,0.0142857142857,0.57646847368,by cutting the neck of the head
vein,1.0,0.0142857142857,0.71754707194,the neck and hands veined finely like the petals of a flower
got,1.0,0.0142857142857,0.407392143636,just as she had got its neck nicely straightened out
save,1.0,0.0142857142857,0.71754707194,and had to stoop to save her neck from being broken
shrink,1.0,0.0142857142857,0.68769410879,my neck and shoulder shrunk in fever under her breath
be,1.0,0.0142857142857,0.171003365572,Once there was a neck opposite Port Hudson
run,1.0,0.0142857142857,0.385413236918,you are not one of those who will run their neck into a noose without seeing how they are to get it out again
break,1.0,0.0142857142857,0.603136720762,don't let him break his neck in hunting
bridle,1.0,0.0142857142857,0.71754707194,bridling her neck of ivory and curling her lip of carmine
lay,1.0,0.0142857142857,0.262810914825,the little collar round her neck lay over a pink ribbon
veil,1.0,0.0142857142857,0.71754707194,veil her neck and caress her shoulder with their tendril rings
_,1.0,0.0142857142857,0.550492987277,I will tell you it is _my_ neck you are putting in peril
keep,1.0,0.0142857142857,0.103180769233,for her neck kept getting entangled among the branches
place,1.0,0.0142857142857,0.550492987277,place its neck in the sack
shade,1.0,0.0142857142857,0.658706571917,neck scarcely shaded by aerial lace
wind,1.0,0.0142857142857,0.71754707194,wound round and round the neck like a bandage
