verb,frequency,norm,pmi,samples
pull,1.0,0.0384615384615,0.638902764286,"Pulling the knees up to the chest, circling one's knees with the arms
"
draw,1.0,0.0384615384615,0.609915227413,"Drawing knees up to the body's core
"
lock,1.0,0.0384615384615,0.638902764286,"Knees locked tight together
"
Weak,1.0,0.0384615384615,0.638902764286,"Weak knees
"
slap,1.0,0.0384615384615,0.638902764286,"Slapping one's knees or thighs
"
touch,1.0,0.0384615384615,0.451691222198,"Sitting with knees touching the other person's
"
bounce,1.0,0.0384615384615,0.638902764286,"Bouncing a knee
"
press,1.0,0.0384615384615,0.15793010367,"Pressing one's knees together
"
circle,1.0,0.0384615384615,0.668755727436,"Pulling the knees up to the chest, circling one's knees with the arms
"
hold,1.0,0.0384615384615,0.381073654984,"Holding the knees and legs tightly together
"
clasp,1.0,0.0384615384615,0.476383834788,"Clasping one's knees tightly together
"
