verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
meet,17.0,3.0,5,3,"My eye met his as the idea crossed my mind
All eyes met her with a glance of eager curiosity
and she met all eyes with one of rebuff and coldness
met my eye like the lineaments of a once familiar face
nothing important met his eye which did not receive that sort of analytical attention which an experienced and philosophical traveler alone can give
Their eyes instantly met
He had just seen their eyes meet onceonly
scarcely a picturesque object met my eye along the whole route
I met her eye too in fullobliging
the object that met my eyes was Miss Marchmont awake
his form was the first object that met my eyes as I entered the parlour
Our eyes met
Again and again that eye just met mine
but where his questioning eyes met dishonest denialwhere
his eyes met my smile
there were thousands to meet his eye and divide its scrutinywhy
His eye met Mrs","Looking down, unable to meet someone's eyes

Not meeting the requester's eyes

An inability to meet another's eyes
"
shut,11.0,4.0,8,2,"eyes now shut
I that evening shut my eyes resolutely against the future
Shut my eyes as I would
inasmuch as I could shut my eyes and reel off a good long string of these names without leaving out more than ten miles of river in every fifty
when I had so mastered its shape that I could shut my eyes and trace it from St
his deep-sunken eyes were shut
shutting his eyes once more
with your eyes shut
Sabina shut her eyes the better to realize the situation
In her blithe confidence Sabina had shut her eyes to the small disloyalties of the past
If only she could have shut the eyes of her mind","Staring but not seeing, eyes shut or crying

Squeezing one's eyes shut

Squeezing the eyes shut

Squeezing eyes shut
"
close,9.0,13.0,10,1,"The Dormouse had closed its eyes by this time
his eyes were closed
Barraclough entirely closing his naturally half-shut eyes as he delivered it
refreshing sleep closed her eyes and calmed her senses
When I close my eyes I seem to see poor papa's epitaph in black letters on the white marble
his eyes closed
as her eyes closed and her rosy lips parted in coming sleep
close an eye by daylight
In the end I closed the eyes of my dead","Closing the eyes to savor the experience

Rubbing at the middle of one's forehead, eyes closed

Dropping the head, eyes closed

Putting a hand over the face, closing the eyes

Tipping the head back for a moment and closing the eyes

Taking a deep, pained breath and closing the eyes

Closing one's eyes to shut everything out

Closing the eyes and taking a calming breath

Closing one's eyes to more clearly recall the memories

Touching a temple while closing the eyes

Closing the eyes

Pinching the bridge of the nose, eyes closed

Shaking head and closing the eyes
"
fill,9.0,1.0,10,5,"my eyes filled again
whilst tears filled the eyes of both
only the brown eyes filled
a tear would fill her eyes and fall on her busy hands
My eye is yet filled with visions of the high-flounced
Her eyes filled
while his eye was filled and his ear fed
the deepest happiness filled his blue eye and smoothed his broad forehead
its purport made my eyes fill","Eyes that are soft, filled with an inner glow
"
look,6.0,2.0,13,4,"his eyes and gathered eyebrows looked ireful and thwarted just now
very eyes had looked upon the county court-housewhich
solemn eyes looked reflectively into mine
The Italian eye looked straight into you
Those eyes looked as if when somewhat older they would flash a lightning-response to love
Those eyes had looked on the visits of a certain ghosthad","Exhaling while the eyes look up

Head down as the eyes look up
"
draw,5.0,1.0,14,5,"directly drawn every eye upon me
than my eyes were drawn involuntarily to his face
my eye was instantly drawn to his movements
her eyes thus drawn from me
the picture whose dim outline had drawn my eyes beforethe","A sleek walk that draws the eye
"
cut,2.0,1.0,17,5,"his eye was large and well cut
your eyes are cut like mine","Cutting the eyes toward the source
"
hide,2.0,1.0,17,5,"and I thought only of hiding my dazzled eyes against Mr
a resistance of which no human eye or cheek could hide the flame","Hair hanging in face, hiding the eyes
"
lose,1.0,13.0,18,1,for my eyes lost,"Closing the eyes to savor the experience

Rubbing at the middle of one's forehead, eyes closed

Dropping the head, eyes closed

Putting a hand over the face, closing the eyes

Tipping the head back for a moment and closing the eyes

Taking a deep, pained breath and closing the eyes

Closing one's eyes to shut everything out

Closing the eyes and taking a calming breath

Closing one's eyes to more clearly recall the memories

Touching a temple while closing the eyes

Closing the eyes

Pinching the bridge of the nose, eyes closed

Shaking head and closing the eyes
"
appear,1.0,1.0,18,5,Alice waited till the eyes appeared,"Eyes appear red
"
water,1.0,1.0,18,5,Her eyes watered a little,"Watering eyes that display an inward focus
"
lit,1.0,1.0,18,5,and when her eye lit on meI,"Eyes squinting, lit with an inner glow or twinkle of mischief
"
